,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,以下,名詞,非自立,副詞可能,*,以下,66
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,C言語,名詞,固有名詞,一般,*,C言語,41
18,0,プログラム,名詞,サ変接続,*,*,プログラム,36
20,0,作り,動詞,自立,*,*,作る,31
21,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
24,0,実行,名詞,サ変接続,*,*,実行,36
25,0,できる,動詞,自立,*,*,できる,31
28,0,なる,動詞,自立,*,*,なる,31
32,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
34,0,ため,名詞,非自立,副詞可能,*,ため,66
36,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
38,0,構築,名詞,サ変接続,*,*,構築,36
39,0,できる,動詞,自立,*,*,できる,31
42,0,なる,動詞,自立,*,*,なる,31
46,0,解析,名詞,サ変接続,*,*,解析,36
47,0,結果,名詞,副詞可能,*,*,結果,67
49,0,可視,名詞,一般,*,*,可視,38
50,0,的,名詞,接尾,形容動詞語幹,*,的,52
52,0,表示,名詞,サ変接続,*,*,表示,36
53,0,できる,動詞,自立,*,*,できる,31
56,0,なる,動詞,自立,*,*,なる,31
58,0,講義,名詞,サ変接続,*,*,講義,36
60,0,履修,名詞,サ変接続,*,*,履修,36
64,0,以下,名詞,非自立,副詞可能,*,以下,66
66,0,能力,名詞,一般,*,*,能力,38
68,0,修得,名詞,サ変接続,*,*,修得,36
73,0,C言語,名詞,固有名詞,一般,*,C言語,41
75,0,プログラム,名詞,サ変接続,*,*,プログラム,36
77,0,作り,動詞,自立,*,*,作る,31
78,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
81,0,実行,名詞,サ変接続,*,*,実行,36
82,0,できる,動詞,自立,*,*,できる,31
85,0,なる,動詞,自立,*,*,なる,31
89,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
91,0,ため,名詞,非自立,副詞可能,*,ため,66
93,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
95,0,構築,名詞,サ変接続,*,*,構築,36
96,0,できる,動詞,自立,*,*,できる,31
99,0,なる,動詞,自立,*,*,なる,31
103,0,解析,名詞,サ変接続,*,*,解析,36
104,0,結果,名詞,副詞可能,*,*,結果,67
106,0,可視,名詞,一般,*,*,可視,38
107,0,的,名詞,接尾,形容動詞語幹,*,的,52
109,0,表示,名詞,サ変接続,*,*,表示,36
110,0,できる,動詞,自立,*,*,できる,31
113,0,なる,動詞,自立,*,*,なる,31
116,0,科目,名詞,一般,*,*,科目,38
119,0,学習,名詞,サ変接続,*,*,学習,36
120,0,目標,名詞,一般,*,*,目標,38
125,0,機械工学,名詞,固有名詞,一般,*,機械工学,41
127,0,発展,名詞,サ変接続,*,*,発展,36
128,0,的,名詞,接尾,形容動詞語幹,*,的,52
129,0,専門,名詞,一般,*,*,専門,38
130,0,学力,名詞,一般,*,*,学力,38
134,0,専門知識,名詞,固有名詞,一般,*,専門知識,41
136,0,活用,名詞,サ変接続,*,*,活用,36
139,0,新た,名詞,形容動詞語幹,*,*,新た,40
142,0,解決,名詞,サ変接続,*,*,解決,36
144,0,創造的,名詞,固有名詞,一般,*,創造的,41
145,0,提案,名詞,サ変接続,*,*,提案,36
147,0,行う,動詞,自立,*,*,行う,31
148,0,能力,名詞,一般,*,*,能力,38
150,0,習得,名詞,サ変接続,*,*,習得,36
152,0,対応,名詞,サ変接続,*,*,対応,36
156,0,講義,名詞,サ変接続,*,*,講義,36
158,0,履修,名詞,サ変接続,*,*,履修,36
162,0,以下,名詞,非自立,副詞可能,*,以下,66
164,0,能力,名詞,一般,*,*,能力,38
166,0,修得,名詞,サ変接続,*,*,修得,36
171,0,C言語,名詞,固有名詞,一般,*,C言語,41
173,0,プログラム,名詞,サ変接続,*,*,プログラム,36
175,0,作り,動詞,自立,*,*,作る,31
176,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
179,0,実行,名詞,サ変接続,*,*,実行,36
180,0,できる,動詞,自立,*,*,できる,31
183,0,なる,動詞,自立,*,*,なる,31
187,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
189,0,ため,名詞,非自立,副詞可能,*,ため,66
191,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
193,0,構築,名詞,サ変接続,*,*,構築,36
194,0,できる,動詞,自立,*,*,できる,31
197,0,なる,動詞,自立,*,*,なる,31
201,0,解析,名詞,サ変接続,*,*,解析,36
202,0,結果,名詞,副詞可能,*,*,結果,67
204,0,可視,名詞,一般,*,*,可視,38
205,0,的,名詞,接尾,形容動詞語幹,*,的,52
207,0,表示,名詞,サ変接続,*,*,表示,36
208,0,できる,動詞,自立,*,*,できる,31
211,0,なる,動詞,自立,*,*,なる,31
214,0,科目,名詞,一般,*,*,科目,38
217,0,学習,名詞,サ変接続,*,*,学習,36
218,0,目標,名詞,一般,*,*,目標,38
223,0,機械工学,名詞,固有名詞,一般,*,機械工学,41
225,0,発展,名詞,サ変接続,*,*,発展,36
226,0,的,名詞,接尾,形容動詞語幹,*,的,52
227,0,専門,名詞,一般,*,*,専門,38
228,0,学力,名詞,一般,*,*,学力,38
232,0,専門知識,名詞,固有名詞,一般,*,専門知識,41
234,0,活用,名詞,サ変接続,*,*,活用,36
237,0,新た,名詞,形容動詞語幹,*,*,新た,40
240,0,解決,名詞,サ変接続,*,*,解決,36
242,0,創造的,名詞,固有名詞,一般,*,創造的,41
243,0,提案,名詞,サ変接続,*,*,提案,36
245,0,行う,動詞,自立,*,*,行う,31
246,0,能力,名詞,一般,*,*,能力,38
248,0,習得,名詞,サ変接続,*,*,習得,36
250,0,対応,名詞,サ変接続,*,*,対応,36
254,0,講義,名詞,サ変接続,*,*,講義,36
256,0,履修,名詞,サ変接続,*,*,履修,36
260,0,以下,名詞,非自立,副詞可能,*,以下,66
262,0,能力,名詞,一般,*,*,能力,38
264,0,修得,名詞,サ変接続,*,*,修得,36
269,0,C言語,名詞,固有名詞,一般,*,C言語,41
271,0,プログラム,名詞,サ変接続,*,*,プログラム,36
273,0,作り,動詞,自立,*,*,作る,31
274,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
277,0,実行,名詞,サ変接続,*,*,実行,36
278,0,できる,動詞,自立,*,*,できる,31
281,0,なる,動詞,自立,*,*,なる,31
285,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
287,0,ため,名詞,非自立,副詞可能,*,ため,66
289,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
291,0,構築,名詞,サ変接続,*,*,構築,36
292,0,できる,動詞,自立,*,*,できる,31
295,0,なる,動詞,自立,*,*,なる,31
299,0,解析,名詞,サ変接続,*,*,解析,36
300,0,結果,名詞,副詞可能,*,*,結果,67
302,0,可視,名詞,一般,*,*,可視,38
303,0,的,名詞,接尾,形容動詞語幹,*,的,52
305,0,表示,名詞,サ変接続,*,*,表示,36
306,0,できる,動詞,自立,*,*,できる,31
309,0,なる,動詞,自立,*,*,なる,31
311,0,講義,名詞,サ変接続,*,*,講義,36
313,0,履修,名詞,サ変接続,*,*,履修,36
317,0,以下,名詞,非自立,副詞可能,*,以下,66
319,0,能力,名詞,一般,*,*,能力,38
321,0,修得,名詞,サ変接続,*,*,修得,36
326,0,C言語,名詞,固有名詞,一般,*,C言語,41
328,0,プログラム,名詞,サ変接続,*,*,プログラム,36
330,0,作り,動詞,自立,*,*,作る,31
331,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
334,0,実行,名詞,サ変接続,*,*,実行,36
335,0,できる,動詞,自立,*,*,できる,31
338,0,なる,動詞,自立,*,*,なる,31
342,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
344,0,ため,名詞,非自立,副詞可能,*,ため,66
346,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
348,0,構築,名詞,サ変接続,*,*,構築,36
349,0,できる,動詞,自立,*,*,できる,31
352,0,なる,動詞,自立,*,*,なる,31
356,0,解析,名詞,サ変接続,*,*,解析,36
357,0,結果,名詞,副詞可能,*,*,結果,67
359,0,可視,名詞,一般,*,*,可視,38
360,0,的,名詞,接尾,形容動詞語幹,*,的,52
362,0,表示,名詞,サ変接続,*,*,表示,36
363,0,できる,動詞,自立,*,*,できる,31
366,0,なる,動詞,自立,*,*,なる,31
