,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,履修,名詞,サ変接続,*,*,履修,36
8,0,以下,名詞,非自立,副詞可能,*,以下,66
10,0,能力,名詞,一般,*,*,能力,38
12,0,修得,名詞,サ変接続,*,*,修得,36
17,0,水循環,名詞,固有名詞,一般,*,水循環,41
19,0,現象,名詞,一般,*,*,現象,38
21,0,流出,名詞,サ変接続,*,*,流出,36
22,0,解析,名詞,サ変接続,*,*,解析,36
24,0,水,名詞,一般,*,*,水,38
25,0,文,名詞,一般,*,*,文,38
26,0,統計,名詞,サ変接続,*,*,統計,36
28,0,治水,名詞,サ変接続,*,*,治水,36
29,0,計画,名詞,サ変接続,*,*,計画,36
31,0,水害,名詞,一般,*,*,水害,38
33,0,特性,名詞,一般,*,*,特性,38
35,0,変遷,名詞,サ変接続,*,*,変遷,36
37,0,水資源,名詞,固有名詞,一般,*,水資源,41
39,0,水利,名詞,一般,*,*,水利,38
40,0,用,名詞,接尾,一般,*,用,51
42,0,特性,名詞,一般,*,*,特性,38
44,0,河川,名詞,一般,*,*,河川,38
46,0,水資源,名詞,固有名詞,一般,*,水資源,41
48,0,開発,名詞,サ変接続,*,*,開発,36
50,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
54,0,項目,名詞,一般,*,*,項目,38
57,0,学士,名詞,一般,*,*,学士,38
58,0,課程,名詞,一般,*,*,課程,38
59,0,レベル,名詞,一般,*,*,レベル,38
61,0,基礎,名詞,一般,*,*,基礎,38
62,0,的,名詞,接尾,形容動詞語幹,*,的,52
64,0,知識,名詞,一般,*,*,知識,38
68,0,見方,名詞,一般,*,*,見方,38
70,0,得る,動詞,自立,*,*,得る,31
74,0,上記,名詞,一般,*,*,上記,38
78,0,踏まえ,動詞,自立,*,*,踏まえる,31
80,0,上,名詞,非自立,副詞可能,*,上,66
83,0,流域,名詞,一般,*,*,流域,38
85,0,水,名詞,一般,*,*,水,38
86,0,管理,名詞,サ変接続,*,*,管理,36
88,0,あり方,名詞,一般,*,*,あり方,38
90,0,治水,名詞,サ変接続,*,*,治水,36
92,0,利水,名詞,一般,*,*,利水,38
94,0,環境,名詞,一般,*,*,環境,38
96,0,面,名詞,一般,*,*,面,38
98,0,総合的,名詞,固有名詞,一般,*,総合的,41
100,0,説明,名詞,サ変接続,*,*,説明,36
101,0,できる,動詞,自立,*,*,できる,31
105,0,流出,名詞,サ変接続,*,*,流出,36
106,0,モデル,名詞,一般,*,*,モデル,38
108,0,構築,名詞,サ変接続,*,*,構築,36
110,0,水,名詞,一般,*,*,水,38
111,0,文,名詞,一般,*,*,文,38
112,0,統計,名詞,サ変接続,*,*,統計,36
115,0,データ,名詞,一般,*,*,データ,38
118,0,適用,名詞,サ変接続,*,*,適用,36
120,0,水,名詞,一般,*,*,水,38
121,0,災害,名詞,一般,*,*,災害,38
123,0,河川,名詞,一般,*,*,河川,38
124,0,管理,名詞,サ変接続,*,*,管理,36
126,0,実例,名詞,一般,*,*,実例,38
128,0,分析,名詞,サ変接続,*,*,分析,36
132,0,経験,名詞,サ変接続,*,*,経験,36
134,0,得る,動詞,自立,*,*,得る,31
138,0,講義,名詞,サ変接続,*,*,講義,36
140,0,履修,名詞,サ変接続,*,*,履修,36
144,0,以下,名詞,非自立,副詞可能,*,以下,66
146,0,能力,名詞,一般,*,*,能力,38
148,0,修得,名詞,サ変接続,*,*,修得,36
153,0,水循環,名詞,固有名詞,一般,*,水循環,41
155,0,現象,名詞,一般,*,*,現象,38
157,0,流出,名詞,サ変接続,*,*,流出,36
158,0,解析,名詞,サ変接続,*,*,解析,36
160,0,水,名詞,一般,*,*,水,38
161,0,文,名詞,一般,*,*,文,38
162,0,統計,名詞,サ変接続,*,*,統計,36
164,0,治水,名詞,サ変接続,*,*,治水,36
165,0,計画,名詞,サ変接続,*,*,計画,36
167,0,水害,名詞,一般,*,*,水害,38
169,0,特性,名詞,一般,*,*,特性,38
171,0,変遷,名詞,サ変接続,*,*,変遷,36
173,0,水資源,名詞,固有名詞,一般,*,水資源,41
175,0,水利,名詞,一般,*,*,水利,38
176,0,用,名詞,接尾,一般,*,用,51
178,0,特性,名詞,一般,*,*,特性,38
180,0,河川,名詞,一般,*,*,河川,38
182,0,水資源,名詞,固有名詞,一般,*,水資源,41
184,0,開発,名詞,サ変接続,*,*,開発,36
186,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
190,0,項目,名詞,一般,*,*,項目,38
193,0,学士,名詞,一般,*,*,学士,38
194,0,課程,名詞,一般,*,*,課程,38
195,0,レベル,名詞,一般,*,*,レベル,38
197,0,基礎,名詞,一般,*,*,基礎,38
198,0,的,名詞,接尾,形容動詞語幹,*,的,52
200,0,知識,名詞,一般,*,*,知識,38
204,0,見方,名詞,一般,*,*,見方,38
206,0,得る,動詞,自立,*,*,得る,31
210,0,上記,名詞,一般,*,*,上記,38
214,0,踏まえ,動詞,自立,*,*,踏まえる,31
216,0,上,名詞,非自立,副詞可能,*,上,66
219,0,流域,名詞,一般,*,*,流域,38
221,0,水,名詞,一般,*,*,水,38
222,0,管理,名詞,サ変接続,*,*,管理,36
224,0,あり方,名詞,一般,*,*,あり方,38
226,0,治水,名詞,サ変接続,*,*,治水,36
228,0,利水,名詞,一般,*,*,利水,38
230,0,環境,名詞,一般,*,*,環境,38
232,0,面,名詞,一般,*,*,面,38
234,0,総合的,名詞,固有名詞,一般,*,総合的,41
236,0,説明,名詞,サ変接続,*,*,説明,36
237,0,できる,動詞,自立,*,*,できる,31
241,0,流出,名詞,サ変接続,*,*,流出,36
