,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,次,名詞,一般,*,*,次,38
10,0,能力,名詞,一般,*,*,能力,38
12,0,修得,名詞,サ変接続,*,*,修得,36
15,1,中国語,名詞,一般,*,*,中国語,38
17,1,一般,名詞,一般,*,*,一般,38
18,1,書,名詞,接尾,一般,*,書,51
20,1,新聞,名詞,一般,*,*,新聞,38
23,1,要点,名詞,一般,*,*,要点,38
25,1,把握,名詞,サ変接続,*,*,把握,36
26,1,できる,動詞,自立,*,*,できる,31
27,1,読解力,名詞,固有名詞,一般,*,読解力,41
29,1,将来,名詞,副詞可能,*,*,将来,67
30,1,中国,名詞,固有名詞,地域,国,中国,47
32,1,留学,名詞,サ変接続,*,*,留学,36
34,1,際,名詞,非自立,副詞可能,*,際,66
36,1,日常生活,名詞,固有名詞,一般,*,日常生活,41
38,1,必要,名詞,形容動詞語幹,*,*,必要,40
41,1,聞く,動詞,自立,*,*,聞く,31
42,1,話す,動詞,自立,*,*,話す,31
43,1,語学力,名詞,固有名詞,一般,*,語学力,41
45,1,身,名詞,一般,*,*,身,38
47,1,つける,動詞,自立,*,*,つける,31
52,2,履修,名詞,サ変接続,*,*,履修,36
57,2,次,名詞,一般,*,*,次,38
59,2,能力,名詞,一般,*,*,能力,38
61,2,修得,名詞,サ変接続,*,*,修得,36
64,3,中国語,名詞,一般,*,*,中国語,38
66,3,一般,名詞,一般,*,*,一般,38
67,3,書,名詞,接尾,一般,*,書,51
69,3,新聞,名詞,一般,*,*,新聞,38
72,3,要点,名詞,一般,*,*,要点,38
74,3,把握,名詞,サ変接続,*,*,把握,36
75,3,できる,動詞,自立,*,*,できる,31
76,3,読解力,名詞,固有名詞,一般,*,読解力,41
78,3,将来,名詞,副詞可能,*,*,将来,67
79,3,中国,名詞,固有名詞,地域,国,中国,47
81,3,留学,名詞,サ変接続,*,*,留学,36
83,3,際,名詞,非自立,副詞可能,*,際,66
85,3,日常生活,名詞,固有名詞,一般,*,日常生活,41
87,3,必要,名詞,形容動詞語幹,*,*,必要,40
90,3,聞く,動詞,自立,*,*,聞く,31
91,3,話す,動詞,自立,*,*,話す,31
92,3,語学力,名詞,固有名詞,一般,*,語学力,41
94,3,身,名詞,一般,*,*,身,38
