,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
7,0,学ん,動詞,自立,*,*,学ぶ,31
9,0,基礎,名詞,一般,*,*,基礎,38
10,0,的,名詞,接尾,形容動詞語幹,*,的,52
12,0,数学,名詞,一般,*,*,数学,38
14,0,物理学,名詞,固有名詞,一般,*,物理学,41
16,0,化学,名詞,一般,*,*,化学,38
18,0,生物学,名詞,固有名詞,一般,*,生物学,41
19,0,等,名詞,接尾,一般,*,等,51
21,0,知識,名詞,一般,*,*,知識,38
26,0,環境,名詞,一般,*,*,環境,38
28,0,解析,名詞,サ変接続,*,*,解析,36
30,0,環境問題,名詞,固有名詞,一般,*,環境問題,41
32,0,解決,名詞,サ変接続,*,*,解決,36
34,0,役立っ,動詞,自立,*,*,役立つ,31
41,0,理解,名詞,サ変接続,*,*,理解,36
42,0,できる,動詞,自立,*,*,できる,31
45,0,なる,動詞,自立,*,*,なる,31
48,0,講義,名詞,サ変接続,*,*,講義,36
54,0,学ん,動詞,自立,*,*,学ぶ,31
56,0,基礎,名詞,一般,*,*,基礎,38
57,0,的,名詞,接尾,形容動詞語幹,*,的,52
59,0,数学,名詞,一般,*,*,数学,38
61,0,物理学,名詞,固有名詞,一般,*,物理学,41
63,0,化学,名詞,一般,*,*,化学,38
65,0,生物学,名詞,固有名詞,一般,*,生物学,41
66,0,等,名詞,接尾,一般,*,等,51
68,0,知識,名詞,一般,*,*,知識,38
73,0,環境,名詞,一般,*,*,環境,38
75,0,解析,名詞,サ変接続,*,*,解析,36
77,0,環境問題,名詞,固有名詞,一般,*,環境問題,41
79,0,解決,名詞,サ変接続,*,*,解決,36
81,0,役立っ,動詞,自立,*,*,役立つ,31
88,0,理解,名詞,サ変接続,*,*,理解,36
89,0,できる,動詞,自立,*,*,できる,31
92,0,なる,動詞,自立,*,*,なる,31
95,0,講義,名詞,サ変接続,*,*,講義,36
101,0,学ん,動詞,自立,*,*,学ぶ,31
103,0,基礎,名詞,一般,*,*,基礎,38
104,0,的,名詞,接尾,形容動詞語幹,*,的,52
106,0,数学,名詞,一般,*,*,数学,38
108,0,物理学,名詞,固有名詞,一般,*,物理学,41
110,0,化学,名詞,一般,*,*,化学,38
112,0,生物学,名詞,固有名詞,一般,*,生物学,41
113,0,等,名詞,接尾,一般,*,等,51
115,0,知識,名詞,一般,*,*,知識,38
120,0,環境,名詞,一般,*,*,環境,38
122,0,解析,名詞,サ変接続,*,*,解析,36
124,0,環境問題,名詞,固有名詞,一般,*,環境問題,41
126,0,解決,名詞,サ変接続,*,*,解決,36
128,0,役立っ,動詞,自立,*,*,役立つ,31
135,0,理解,名詞,サ変接続,*,*,理解,36
136,0,できる,動詞,自立,*,*,できる,31
139,0,なる,動詞,自立,*,*,なる,31
