,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,固体,名詞,一般,*,*,固体,38
17,0,反応,名詞,サ変接続,*,*,反応,36
19,0,動力学,名詞,固有名詞,一般,*,動力学,41
21,0,体系,名詞,一般,*,*,体系,38
22,0,的,名詞,接尾,形容動詞語幹,*,的,52
24,0,整理,名詞,サ変接続,*,*,整理,36
27,0,理解,名詞,サ変接続,*,*,理解,36
32,0,欠陥,名詞,一般,*,*,欠陥,38
33,0,生成,名詞,サ変接続,*,*,生成,36
35,0,拡散,名詞,サ変接続,*,*,拡散,36
37,0,基礎,名詞,一般,*,*,基礎,38
39,0,修得,名詞,サ変接続,*,*,修得,36
44,0,欠陥,名詞,一般,*,*,欠陥,38
47,0,拡散,名詞,サ変接続,*,*,拡散,36
49,0,結果,名詞,副詞可能,*,*,結果,67
51,0,起きる,動詞,自立,*,*,起きる,31
52,0,現象,名詞,一般,*,*,現象,38
54,0,例,名詞,一般,*,*,例,38
57,0,固相,名詞,固有名詞,一般,*,固相,41
58,0,反応,名詞,サ変接続,*,*,反応,36
60,0,焼結,名詞,固有名詞,一般,*,焼結,41
62,0,動力学,名詞,固有名詞,一般,*,動力学,41
64,0,理解,名詞,サ変接続,*,*,理解,36
68,0,講義,名詞,サ変接続,*,*,講義,36
70,0,履修,名詞,サ変接続,*,*,履修,36
74,0,次,名詞,一般,*,*,次,38
76,0,能力,名詞,一般,*,*,能力,38
78,0,修得,名詞,サ変接続,*,*,修得,36
83,0,固体,名詞,一般,*,*,固体,38
84,0,反応,名詞,サ変接続,*,*,反応,36
86,0,動力学,名詞,固有名詞,一般,*,動力学,41
88,0,体系,名詞,一般,*,*,体系,38
89,0,的,名詞,接尾,形容動詞語幹,*,的,52
91,0,整理,名詞,サ変接続,*,*,整理,36
94,0,理解,名詞,サ変接続,*,*,理解,36
99,0,欠陥,名詞,一般,*,*,欠陥,38
100,0,生成,名詞,サ変接続,*,*,生成,36
102,0,拡散,名詞,サ変接続,*,*,拡散,36
104,0,基礎,名詞,一般,*,*,基礎,38
106,0,修得,名詞,サ変接続,*,*,修得,36
111,0,欠陥,名詞,一般,*,*,欠陥,38
114,0,拡散,名詞,サ変接続,*,*,拡散,36
116,0,結果,名詞,副詞可能,*,*,結果,67
118,0,起きる,動詞,自立,*,*,起きる,31
119,0,現象,名詞,一般,*,*,現象,38
121,0,例,名詞,一般,*,*,例,38
124,0,固相,名詞,固有名詞,一般,*,固相,41
125,0,反応,名詞,サ変接続,*,*,反応,36
127,0,焼結,名詞,固有名詞,一般,*,焼結,41
129,0,動力学,名詞,固有名詞,一般,*,動力学,41
131,0,理解,名詞,サ変接続,*,*,理解,36
