,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,有機,名詞,一般,*,*,有機,38
1,0,化合,名詞,サ変接続,*,*,化合,36
2,0,物,名詞,接尾,一般,*,物,51
4,0,合成,名詞,サ変接続,*,*,合成,36
6,0,必要,名詞,形容動詞語幹,*,*,必要,40
7,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
14,0,単発,名詞,一般,*,*,単発,38
15,0,的,名詞,接尾,形容動詞語幹,*,的,52
17,0,解説,名詞,サ変接続,*,*,解説,36
23,0,酸化,名詞,サ変接続,*,*,酸化,36
25,0,還元,名詞,サ変接続,*,*,還元,36
26,0,反応,名詞,サ変接続,*,*,反応,36
30,0,基本,名詞,一般,*,*,基本,38
31,0,的,名詞,接尾,形容動詞語幹,*,的,52
33,0,事項,名詞,一般,*,*,事項,38
37,0,合成,名詞,サ変接続,*,*,合成,36
38,0,反応,名詞,サ変接続,*,*,反応,36
41,0,利用,名詞,サ変接続,*,*,利用,36
42,0,法,名詞,接尾,一般,*,法,51
45,0,深く,形容詞,自立,*,*,深い,10
46,0,理解,名詞,サ変接続,*,*,理解,36
47,0,できる,動詞,自立,*,*,できる,31
49,0,同時に,副詞,一般,*,*,同時に,34
54,0,学ん,動詞,自立,*,*,学ぶ,31
58,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
60,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
61,0,知識,名詞,一般,*,*,知識,38
63,0,再確認,名詞,固有名詞,一般,*,再確認,41
67,0,深く,形容詞,自立,*,*,深い,10
68,0,理解,名詞,サ変接続,*,*,理解,36
72,0,できる,動詞,自立,*,*,できる,31
75,0,有機,名詞,一般,*,*,有機,38
76,0,化合,名詞,サ変接続,*,*,化合,36
77,0,物,名詞,接尾,一般,*,物,51
79,0,合成,名詞,サ変接続,*,*,合成,36
81,0,必要,名詞,形容動詞語幹,*,*,必要,40
82,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
89,0,単発,名詞,一般,*,*,単発,38
90,0,的,名詞,接尾,形容動詞語幹,*,的,52
92,0,解説,名詞,サ変接続,*,*,解説,36
98,0,酸化,名詞,サ変接続,*,*,酸化,36
100,0,還元,名詞,サ変接続,*,*,還元,36
101,0,反応,名詞,サ変接続,*,*,反応,36
105,0,基本,名詞,一般,*,*,基本,38
106,0,的,名詞,接尾,形容動詞語幹,*,的,52
108,0,事項,名詞,一般,*,*,事項,38
112,0,合成,名詞,サ変接続,*,*,合成,36
113,0,反応,名詞,サ変接続,*,*,反応,36
116,0,利用,名詞,サ変接続,*,*,利用,36
117,0,法,名詞,接尾,一般,*,法,51
120,0,深く,形容詞,自立,*,*,深い,10
121,0,理解,名詞,サ変接続,*,*,理解,36
122,0,できる,動詞,自立,*,*,できる,31
124,0,同時に,副詞,一般,*,*,同時に,34
129,0,学ん,動詞,自立,*,*,学ぶ,31
133,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
135,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
136,0,知識,名詞,一般,*,*,知識,38
138,0,再確認,名詞,固有名詞,一般,*,再確認,41
142,0,深く,形容詞,自立,*,*,深い,10
143,0,理解,名詞,サ変接続,*,*,理解,36
147,0,できる,動詞,自立,*,*,できる,31
150,0,有機,名詞,一般,*,*,有機,38
151,0,化合,名詞,サ変接続,*,*,化合,36
152,0,物,名詞,接尾,一般,*,物,51
154,0,合成,名詞,サ変接続,*,*,合成,36
156,0,必要,名詞,形容動詞語幹,*,*,必要,40
157,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
164,0,単発,名詞,一般,*,*,単発,38
165,0,的,名詞,接尾,形容動詞語幹,*,的,52
167,0,解説,名詞,サ変接続,*,*,解説,36
173,0,酸化,名詞,サ変接続,*,*,酸化,36
175,0,還元,名詞,サ変接続,*,*,還元,36
176,0,反応,名詞,サ変接続,*,*,反応,36
180,0,基本,名詞,一般,*,*,基本,38
181,0,的,名詞,接尾,形容動詞語幹,*,的,52
183,0,事項,名詞,一般,*,*,事項,38
187,0,合成,名詞,サ変接続,*,*,合成,36
188,0,反応,名詞,サ変接続,*,*,反応,36
191,0,利用,名詞,サ変接続,*,*,利用,36
192,0,法,名詞,接尾,一般,*,法,51
195,0,深く,形容詞,自立,*,*,深い,10
196,0,理解,名詞,サ変接続,*,*,理解,36
197,0,できる,動詞,自立,*,*,できる,31
199,0,同時に,副詞,一般,*,*,同時に,34
204,0,学ん,動詞,自立,*,*,学ぶ,31
208,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
210,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
211,0,知識,名詞,一般,*,*,知識,38
213,0,再確認,名詞,固有名詞,一般,*,再確認,41
217,0,深く,形容詞,自立,*,*,深い,10
218,0,理解,名詞,サ変接続,*,*,理解,36
222,0,できる,動詞,自立,*,*,できる,31
225,0,有機,名詞,一般,*,*,有機,38
226,0,化合,名詞,サ変接続,*,*,化合,36
227,0,物,名詞,接尾,一般,*,物,51
229,0,合成,名詞,サ変接続,*,*,合成,36
231,0,必要,名詞,形容動詞語幹,*,*,必要,40
232,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
239,0,単発,名詞,一般,*,*,単発,38
240,0,的,名詞,接尾,形容動詞語幹,*,的,52
242,0,解説,名詞,サ変接続,*,*,解説,36
248,0,酸化,名詞,サ変接続,*,*,酸化,36
250,0,還元,名詞,サ変接続,*,*,還元,36
251,0,反応,名詞,サ変接続,*,*,反応,36
255,0,基本,名詞,一般,*,*,基本,38
256,0,的,名詞,接尾,形容動詞語幹,*,的,52
258,0,事項,名詞,一般,*,*,事項,38
262,0,合成,名詞,サ変接続,*,*,合成,36
263,0,反応,名詞,サ変接続,*,*,反応,36
266,0,利用,名詞,サ変接続,*,*,利用,36
267,0,法,名詞,接尾,一般,*,法,51
270,0,深く,形容詞,自立,*,*,深い,10
271,0,理解,名詞,サ変接続,*,*,理解,36
272,0,できる,動詞,自立,*,*,できる,31
274,0,同時に,副詞,一般,*,*,同時に,34
279,0,学ん,動詞,自立,*,*,学ぶ,31
283,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
285,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
286,0,知識,名詞,一般,*,*,知識,38
288,0,再確認,名詞,固有名詞,一般,*,再確認,41
292,0,深く,形容詞,自立,*,*,深い,10
293,0,理解,名詞,サ変接続,*,*,理解,36
297,0,できる,動詞,自立,*,*,できる,31
300,0,有機,名詞,一般,*,*,有機,38
301,0,化合,名詞,サ変接続,*,*,化合,36
302,0,物,名詞,接尾,一般,*,物,51
304,0,合成,名詞,サ変接続,*,*,合成,36
306,0,必要,名詞,形容動詞語幹,*,*,必要,40
307,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
314,0,単発,名詞,一般,*,*,単発,38
315,0,的,名詞,接尾,形容動詞語幹,*,的,52
317,0,解説,名詞,サ変接続,*,*,解説,36
323,0,酸化,名詞,サ変接続,*,*,酸化,36
325,0,還元,名詞,サ変接続,*,*,還元,36
326,0,反応,名詞,サ変接続,*,*,反応,36
330,0,基本,名詞,一般,*,*,基本,38
331,0,的,名詞,接尾,形容動詞語幹,*,的,52
333,0,事項,名詞,一般,*,*,事項,38
337,0,合成,名詞,サ変接続,*,*,合成,36
338,0,反応,名詞,サ変接続,*,*,反応,36
341,0,利用,名詞,サ変接続,*,*,利用,36
342,0,法,名詞,接尾,一般,*,法,51
345,0,深く,形容詞,自立,*,*,深い,10
346,0,理解,名詞,サ変接続,*,*,理解,36
347,0,できる,動詞,自立,*,*,できる,31
349,0,同時に,副詞,一般,*,*,同時に,34
354,0,学ん,動詞,自立,*,*,学ぶ,31
358,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
360,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
361,0,知識,名詞,一般,*,*,知識,38
363,0,再確認,名詞,固有名詞,一般,*,再確認,41
367,0,深く,形容詞,自立,*,*,深い,10
368,0,理解,名詞,サ変接続,*,*,理解,36
372,0,できる,動詞,自立,*,*,できる,31
