,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,履修,名詞,サ変接続,*,*,履修,36
8,0,以下,名詞,非自立,副詞可能,*,以下,66
10,0,能力,名詞,一般,*,*,能力,38
12,0,修得,名詞,サ変接続,*,*,修得,36
17,0,測量,名詞,サ変接続,*,*,測量,36
18,0,技術,名詞,一般,*,*,技術,38
20,0,発達,名詞,サ変接続,*,*,発達,36
22,0,歴史,名詞,一般,*,*,歴史,38
25,0,概要,名詞,一般,*,*,概要,38
27,0,説明,名詞,サ変接続,*,*,説明,36
28,0,できる,動詞,自立,*,*,できる,31
32,0,計測,名詞,サ変接続,*,*,計測,36
34,0,発生,名詞,サ変接続,*,*,発生,36
36,0,誤差,名詞,一般,*,*,誤差,38
39,0,伝播,名詞,サ変接続,*,*,伝播,36
41,0,説明,名詞,サ変接続,*,*,説明,36
42,0,できる,動詞,自立,*,*,できる,31
46,0,誤差,名詞,一般,*,*,誤差,38
48,0,含む,動詞,自立,*,*,含む,31
49,0,計測,名詞,サ変接続,*,*,計測,36
50,0,データ,名詞,一般,*,*,データ,38
52,0,取扱い,名詞,一般,*,*,取扱い,38
53,0,方法,名詞,一般,*,*,方法,38
55,0,説明,名詞,サ変接続,*,*,説明,36
56,0,できる,動詞,自立,*,*,できる,31
60,0,近年,名詞,副詞可能,*,*,近年,67
62,0,測量,名詞,サ変接続,*,*,測量,36
63,0,技術,名詞,一般,*,*,技術,38
65,0,GPS,名詞,固有名詞,一般,*,GPS,41
67,0,GIS,名詞,固有名詞,一般,*,GIS,41
68,0,等,名詞,接尾,一般,*,等,51
71,0,概要,名詞,一般,*,*,概要,38
73,0,説明,名詞,サ変接続,*,*,説明,36
74,0,できる,動詞,自立,*,*,できる,31
78,0,講義,名詞,サ変接続,*,*,講義,36
80,0,履修,名詞,サ変接続,*,*,履修,36
84,0,以下,名詞,非自立,副詞可能,*,以下,66
86,0,能力,名詞,一般,*,*,能力,38
88,0,修得,名詞,サ変接続,*,*,修得,36
93,0,測量,名詞,サ変接続,*,*,測量,36
94,0,技術,名詞,一般,*,*,技術,38
96,0,発達,名詞,サ変接続,*,*,発達,36
98,0,歴史,名詞,一般,*,*,歴史,38
101,0,概要,名詞,一般,*,*,概要,38
103,0,説明,名詞,サ変接続,*,*,説明,36
104,0,できる,動詞,自立,*,*,できる,31
108,0,計測,名詞,サ変接続,*,*,計測,36
110,0,発生,名詞,サ変接続,*,*,発生,36
112,0,誤差,名詞,一般,*,*,誤差,38
115,0,伝播,名詞,サ変接続,*,*,伝播,36
117,0,説明,名詞,サ変接続,*,*,説明,36
118,0,できる,動詞,自立,*,*,できる,31
122,0,誤差,名詞,一般,*,*,誤差,38
124,0,含む,動詞,自立,*,*,含む,31
125,0,計測,名詞,サ変接続,*,*,計測,36
126,0,データ,名詞,一般,*,*,データ,38
128,0,取扱い,名詞,一般,*,*,取扱い,38
129,0,方法,名詞,一般,*,*,方法,38
131,0,説明,名詞,サ変接続,*,*,説明,36
132,0,できる,動詞,自立,*,*,できる,31
136,0,近年,名詞,副詞可能,*,*,近年,67
138,0,測量,名詞,サ変接続,*,*,測量,36
139,0,技術,名詞,一般,*,*,技術,38
141,0,GPS,名詞,固有名詞,一般,*,GPS,41
143,0,GIS,名詞,固有名詞,一般,*,GIS,41
144,0,等,名詞,接尾,一般,*,等,51
147,0,概要,名詞,一般,*,*,概要,38
149,0,説明,名詞,サ変接続,*,*,説明,36
150,0,できる,動詞,自立,*,*,できる,31
154,0,講義,名詞,サ変接続,*,*,講義,36
156,0,履修,名詞,サ変接続,*,*,履修,36
160,0,以下,名詞,非自立,副詞可能,*,以下,66
162,0,能力,名詞,一般,*,*,能力,38
164,0,修得,名詞,サ変接続,*,*,修得,36
169,0,測量,名詞,サ変接続,*,*,測量,36
170,0,技術,名詞,一般,*,*,技術,38
172,0,発達,名詞,サ変接続,*,*,発達,36
174,0,歴史,名詞,一般,*,*,歴史,38
177,0,概要,名詞,一般,*,*,概要,38
179,0,説明,名詞,サ変接続,*,*,説明,36
180,0,できる,動詞,自立,*,*,できる,31
184,0,計測,名詞,サ変接続,*,*,計測,36
186,0,発生,名詞,サ変接続,*,*,発生,36
188,0,誤差,名詞,一般,*,*,誤差,38
191,0,伝播,名詞,サ変接続,*,*,伝播,36
193,0,説明,名詞,サ変接続,*,*,説明,36
194,0,できる,動詞,自立,*,*,できる,31
198,0,誤差,名詞,一般,*,*,誤差,38
200,0,含む,動詞,自立,*,*,含む,31
201,0,計測,名詞,サ変接続,*,*,計測,36
202,0,データ,名詞,一般,*,*,データ,38
204,0,取扱い,名詞,一般,*,*,取扱い,38
205,0,方法,名詞,一般,*,*,方法,38
207,0,説明,名詞,サ変接続,*,*,説明,36
208,0,できる,動詞,自立,*,*,できる,31
212,0,近年,名詞,副詞可能,*,*,近年,67
214,0,測量,名詞,サ変接続,*,*,測量,36
215,0,技術,名詞,一般,*,*,技術,38
217,0,GPS,名詞,固有名詞,一般,*,GPS,41
219,0,GIS,名詞,固有名詞,一般,*,GIS,41
220,0,等,名詞,接尾,一般,*,等,51
223,0,概要,名詞,一般,*,*,概要,38
225,0,説明,名詞,サ変接続,*,*,説明,36
226,0,できる,動詞,自立,*,*,できる,31
230,0,講義,名詞,サ変接続,*,*,講義,36
232,0,履修,名詞,サ変接続,*,*,履修,36
236,0,以下,名詞,非自立,副詞可能,*,以下,66
238,0,能力,名詞,一般,*,*,能力,38
240,0,修得,名詞,サ変接続,*,*,修得,36
245,0,測量,名詞,サ変接続,*,*,測量,36
246,0,技術,名詞,一般,*,*,技術,38
