,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,英語,名詞,一般,*,*,英語,38
1,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
2,0,演習,名詞,サ変接続,*,*,演習,36
3,0,GI,名詞,固有名詞,一般,*,GI,41
5,0,英語,名詞,一般,*,*,英語,38
6,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
7,0,演習,名詞,サ変接続,*,*,演習,36
8,0,GI,名詞,固有名詞,一般,*,GI,41
10,0,英語,名詞,一般,*,*,英語,38
11,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
12,0,演習,名詞,サ変接続,*,*,演習,36
13,0,GI,名詞,固有名詞,一般,*,GI,41
15,0,英語,名詞,一般,*,*,英語,38
16,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
17,0,演習,名詞,サ変接続,*,*,演習,36
18,0,GI,名詞,固有名詞,一般,*,GI,41
20,0,英語,名詞,一般,*,*,英語,38
21,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
22,0,演習,名詞,サ変接続,*,*,演習,36
23,0,GI,名詞,固有名詞,一般,*,GI,41
25,0,英語,名詞,一般,*,*,英語,38
26,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
27,0,演習,名詞,サ変接続,*,*,演習,36
28,0,GI,名詞,固有名詞,一般,*,GI,41
30,0,英語,名詞,一般,*,*,英語,38
31,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
32,0,演習,名詞,サ変接続,*,*,演習,36
33,0,GI,名詞,固有名詞,一般,*,GI,41
35,0,英語,名詞,一般,*,*,英語,38
36,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
37,0,演習,名詞,サ変接続,*,*,演習,36
38,0,GI,名詞,固有名詞,一般,*,GI,41
40,0,英語,名詞,一般,*,*,英語,38
41,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
42,0,演習,名詞,サ変接続,*,*,演習,36
43,0,GI,名詞,固有名詞,一般,*,GI,41
45,0,英語,名詞,一般,*,*,英語,38
46,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
47,0,演習,名詞,サ変接続,*,*,演習,36
48,0,GI,名詞,固有名詞,一般,*,GI,41
50,0,英語,名詞,一般,*,*,英語,38
51,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
52,0,演習,名詞,サ変接続,*,*,演習,36
53,0,GI,名詞,固有名詞,一般,*,GI,41
55,0,英語,名詞,一般,*,*,英語,38
56,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
57,0,演習,名詞,サ変接続,*,*,演習,36
58,0,GI,名詞,固有名詞,一般,*,GI,41
60,0,英語,名詞,一般,*,*,英語,38
61,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
62,0,演習,名詞,サ変接続,*,*,演習,36
63,0,GI,名詞,固有名詞,一般,*,GI,41
65,0,英語,名詞,一般,*,*,英語,38
66,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
67,0,演習,名詞,サ変接続,*,*,演習,36
68,0,GI,名詞,固有名詞,一般,*,GI,41
70,0,英語,名詞,一般,*,*,英語,38
71,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
72,0,演習,名詞,サ変接続,*,*,演習,36
73,0,GI,名詞,固有名詞,一般,*,GI,41
75,0,英語,名詞,一般,*,*,英語,38
76,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
77,0,演習,名詞,サ変接続,*,*,演習,36
78,0,GI,名詞,固有名詞,一般,*,GI,41
80,0,英語,名詞,一般,*,*,英語,38
81,0,スピーキング,名詞,固有名詞,一般,*,スピーキング,41
82,0,演習,名詞,サ変接続,*,*,演習,36
83,0,GI,名詞,固有名詞,一般,*,GI,41
