,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,初級,名詞,一般,*,*,初級,38
3,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,初級,名詞,一般,*,*,初級,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,初級,名詞,一般,*,*,初級,38
9,0,外国,名詞,一般,*,*,外国,38
10,0,語,名詞,接尾,一般,*,語,51
13,0,招待,名詞,サ変接続,*,*,招待,36
15,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
16,0,中級,名詞,一般,*,*,中級,38
18,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
19,0,初級,名詞,一般,*,*,初級,38
21,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
22,0,初級,名詞,一般,*,*,初級,38
24,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
25,0,初級,名詞,一般,*,*,初級,38
27,0,外国,名詞,一般,*,*,外国,38
28,0,語,名詞,接尾,一般,*,語,51
31,0,招待,名詞,サ変接続,*,*,招待,36
33,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
34,0,中級,名詞,一般,*,*,中級,38
36,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
37,0,初級,名詞,一般,*,*,初級,38
39,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
40,0,初級,名詞,一般,*,*,初級,38
42,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
43,0,初級,名詞,一般,*,*,初級,38
45,0,外国,名詞,一般,*,*,外国,38
46,0,語,名詞,接尾,一般,*,語,51
49,0,招待,名詞,サ変接続,*,*,招待,36
51,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
52,0,中級,名詞,一般,*,*,中級,38
54,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
55,0,初級,名詞,一般,*,*,初級,38
57,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
58,0,初級,名詞,一般,*,*,初級,38
60,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
61,0,初級,名詞,一般,*,*,初級,38
63,0,外国,名詞,一般,*,*,外国,38
64,0,語,名詞,接尾,一般,*,語,51
67,0,招待,名詞,サ変接続,*,*,招待,36
69,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
70,0,中級,名詞,一般,*,*,中級,38
72,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
73,0,初級,名詞,一般,*,*,初級,38
75,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
76,0,初級,名詞,一般,*,*,初級,38
78,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
79,0,初級,名詞,一般,*,*,初級,38
81,0,外国,名詞,一般,*,*,外国,38
82,0,語,名詞,接尾,一般,*,語,51
85,0,招待,名詞,サ変接続,*,*,招待,36
87,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
88,0,中級,名詞,一般,*,*,中級,38
90,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
91,0,初級,名詞,一般,*,*,初級,38
93,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
94,0,初級,名詞,一般,*,*,初級,38
96,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
97,0,初級,名詞,一般,*,*,初級,38
99,0,外国,名詞,一般,*,*,外国,38
100,0,語,名詞,接尾,一般,*,語,51
103,0,招待,名詞,サ変接続,*,*,招待,36
105,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
106,0,中級,名詞,一般,*,*,中級,38
108,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
109,0,初級,名詞,一般,*,*,初級,38
111,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
112,0,初級,名詞,一般,*,*,初級,38
