,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,健康,名詞,形容動詞語幹,*,*,健康,40
1,0,科学,名詞,一般,*,*,科学,38
2,0,概論,名詞,サ変接続,*,*,概論,36
3,0,健康,名詞,形容動詞語幹,*,*,健康,40
4,0,科学,名詞,一般,*,*,科学,38
5,0,演習,名詞,サ変接続,*,*,演習,36
6,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
7,0,実習,名詞,サ変接続,*,*,実習,36
8,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
9,0,実習,名詞,サ変接続,*,*,実習,36
10,0,健康,名詞,形容動詞語幹,*,*,健康,40
11,0,科学,名詞,一般,*,*,科学,38
12,0,概論,名詞,サ変接続,*,*,概論,36
13,0,健康,名詞,形容動詞語幹,*,*,健康,40
14,0,科学,名詞,一般,*,*,科学,38
15,0,演習,名詞,サ変接続,*,*,演習,36
16,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
17,0,実習,名詞,サ変接続,*,*,実習,36
18,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
19,0,実習,名詞,サ変接続,*,*,実習,36
20,0,健康,名詞,形容動詞語幹,*,*,健康,40
21,0,科学,名詞,一般,*,*,科学,38
22,0,概論,名詞,サ変接続,*,*,概論,36
23,0,健康,名詞,形容動詞語幹,*,*,健康,40
24,0,科学,名詞,一般,*,*,科学,38
25,0,演習,名詞,サ変接続,*,*,演習,36
26,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
27,0,実習,名詞,サ変接続,*,*,実習,36
28,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
29,0,実習,名詞,サ変接続,*,*,実習,36
30,0,健康,名詞,形容動詞語幹,*,*,健康,40
31,0,科学,名詞,一般,*,*,科学,38
32,0,概論,名詞,サ変接続,*,*,概論,36
33,0,健康,名詞,形容動詞語幹,*,*,健康,40
34,0,科学,名詞,一般,*,*,科学,38
35,0,演習,名詞,サ変接続,*,*,演習,36
36,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
37,0,実習,名詞,サ変接続,*,*,実習,36
38,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
39,0,実習,名詞,サ変接続,*,*,実習,36
40,0,健康,名詞,形容動詞語幹,*,*,健康,40
41,0,科学,名詞,一般,*,*,科学,38
42,0,概論,名詞,サ変接続,*,*,概論,36
43,0,健康,名詞,形容動詞語幹,*,*,健康,40
44,0,科学,名詞,一般,*,*,科学,38
45,0,演習,名詞,サ変接続,*,*,演習,36
46,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
47,0,実習,名詞,サ変接続,*,*,実習,36
48,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
49,0,実習,名詞,サ変接続,*,*,実習,36
50,0,健康,名詞,形容動詞語幹,*,*,健康,40
51,0,科学,名詞,一般,*,*,科学,38
52,0,概論,名詞,サ変接続,*,*,概論,36
53,0,健康,名詞,形容動詞語幹,*,*,健康,40
54,0,科学,名詞,一般,*,*,科学,38
55,0,演習,名詞,サ変接続,*,*,演習,36
56,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
57,0,実習,名詞,サ変接続,*,*,実習,36
58,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
59,0,実習,名詞,サ変接続,*,*,実習,36
60,0,健康,名詞,形容動詞語幹,*,*,健康,40
61,0,科学,名詞,一般,*,*,科学,38
62,0,概論,名詞,サ変接続,*,*,概論,36
63,0,健康,名詞,形容動詞語幹,*,*,健康,40
64,0,科学,名詞,一般,*,*,科学,38
65,0,演習,名詞,サ変接続,*,*,演習,36
66,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
67,0,実習,名詞,サ変接続,*,*,実習,36
68,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
69,0,実習,名詞,サ変接続,*,*,実習,36
70,0,健康,名詞,形容動詞語幹,*,*,健康,40
71,0,科学,名詞,一般,*,*,科学,38
72,0,概論,名詞,サ変接続,*,*,概論,36
73,0,健康,名詞,形容動詞語幹,*,*,健康,40
74,0,科学,名詞,一般,*,*,科学,38
75,0,演習,名詞,サ変接続,*,*,演習,36
76,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
77,0,実習,名詞,サ変接続,*,*,実習,36
78,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
79,0,実習,名詞,サ変接続,*,*,実習,36
80,0,健康,名詞,形容動詞語幹,*,*,健康,40
81,0,科学,名詞,一般,*,*,科学,38
82,0,概論,名詞,サ変接続,*,*,概論,36
83,0,健康,名詞,形容動詞語幹,*,*,健康,40
84,0,科学,名詞,一般,*,*,科学,38
85,0,演習,名詞,サ変接続,*,*,演習,36
86,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
87,0,実習,名詞,サ変接続,*,*,実習,36
88,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
89,0,実習,名詞,サ変接続,*,*,実習,36
90,0,健康,名詞,形容動詞語幹,*,*,健康,40
91,0,科学,名詞,一般,*,*,科学,38
92,0,概論,名詞,サ変接続,*,*,概論,36
93,0,健康,名詞,形容動詞語幹,*,*,健康,40
94,0,科学,名詞,一般,*,*,科学,38
95,0,演習,名詞,サ変接続,*,*,演習,36
96,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
97,0,実習,名詞,サ変接続,*,*,実習,36
98,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
99,0,実習,名詞,サ変接続,*,*,実習,36
100,0,健康,名詞,形容動詞語幹,*,*,健康,40
101,0,科学,名詞,一般,*,*,科学,38
102,0,概論,名詞,サ変接続,*,*,概論,36
103,0,健康,名詞,形容動詞語幹,*,*,健康,40
104,0,科学,名詞,一般,*,*,科学,38
105,0,演習,名詞,サ変接続,*,*,演習,36
106,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
107,0,実習,名詞,サ変接続,*,*,実習,36
108,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
109,0,実習,名詞,サ変接続,*,*,実習,36
110,0,健康,名詞,形容動詞語幹,*,*,健康,40
111,0,科学,名詞,一般,*,*,科学,38
112,0,概論,名詞,サ変接続,*,*,概論,36
113,0,健康,名詞,形容動詞語幹,*,*,健康,40
114,0,科学,名詞,一般,*,*,科学,38
115,0,演習,名詞,サ変接続,*,*,演習,36
116,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
117,0,実習,名詞,サ変接続,*,*,実習,36
118,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
119,0,実習,名詞,サ変接続,*,*,実習,36
120,0,健康,名詞,形容動詞語幹,*,*,健康,40
121,0,科学,名詞,一般,*,*,科学,38
122,0,概論,名詞,サ変接続,*,*,概論,36
123,0,健康,名詞,形容動詞語幹,*,*,健康,40
124,0,科学,名詞,一般,*,*,科学,38
125,0,演習,名詞,サ変接続,*,*,演習,36
126,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
127,0,実習,名詞,サ変接続,*,*,実習,36
128,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
129,0,実習,名詞,サ変接続,*,*,実習,36
130,0,健康,名詞,形容動詞語幹,*,*,健康,40
131,0,科学,名詞,一般,*,*,科学,38
132,0,概論,名詞,サ変接続,*,*,概論,36
133,0,健康,名詞,形容動詞語幹,*,*,健康,40
134,0,科学,名詞,一般,*,*,科学,38
135,0,演習,名詞,サ変接続,*,*,演習,36
136,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
137,0,実習,名詞,サ変接続,*,*,実習,36
138,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
139,0,実習,名詞,サ変接続,*,*,実習,36
140,0,健康,名詞,形容動詞語幹,*,*,健康,40
141,0,科学,名詞,一般,*,*,科学,38
142,0,概論,名詞,サ変接続,*,*,概論,36
143,0,健康,名詞,形容動詞語幹,*,*,健康,40
144,0,科学,名詞,一般,*,*,科学,38
145,0,演習,名詞,サ変接続,*,*,演習,36
146,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
147,0,実習,名詞,サ変接続,*,*,実習,36
148,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
149,0,実習,名詞,サ変接続,*,*,実習,36
150,0,健康,名詞,形容動詞語幹,*,*,健康,40
151,0,科学,名詞,一般,*,*,科学,38
152,0,概論,名詞,サ変接続,*,*,概論,36
153,0,健康,名詞,形容動詞語幹,*,*,健康,40
154,0,科学,名詞,一般,*,*,科学,38
155,0,演習,名詞,サ変接続,*,*,演習,36
156,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
157,0,実習,名詞,サ変接続,*,*,実習,36
158,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
159,0,実習,名詞,サ変接続,*,*,実習,36
160,0,健康,名詞,形容動詞語幹,*,*,健康,40
161,0,科学,名詞,一般,*,*,科学,38
162,0,概論,名詞,サ変接続,*,*,概論,36
163,0,健康,名詞,形容動詞語幹,*,*,健康,40
164,0,科学,名詞,一般,*,*,科学,38
165,0,演習,名詞,サ変接続,*,*,演習,36
166,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
167,0,実習,名詞,サ変接続,*,*,実習,36
168,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
169,0,実習,名詞,サ変接続,*,*,実習,36
170,0,健康,名詞,形容動詞語幹,*,*,健康,40
171,0,科学,名詞,一般,*,*,科学,38
172,0,概論,名詞,サ変接続,*,*,概論,36
173,0,健康,名詞,形容動詞語幹,*,*,健康,40
174,0,科学,名詞,一般,*,*,科学,38
175,0,演習,名詞,サ変接続,*,*,演習,36
176,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
177,0,実習,名詞,サ変接続,*,*,実習,36
178,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
179,0,実習,名詞,サ変接続,*,*,実習,36
180,0,健康,名詞,形容動詞語幹,*,*,健康,40
181,0,科学,名詞,一般,*,*,科学,38
182,0,概論,名詞,サ変接続,*,*,概論,36
183,0,健康,名詞,形容動詞語幹,*,*,健康,40
184,0,科学,名詞,一般,*,*,科学,38
185,0,演習,名詞,サ変接続,*,*,演習,36
186,0,ウェルネス,名詞,固有名詞,一般,*,ウェルネス,41
187,0,実習,名詞,サ変接続,*,*,実習,36
188,0,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
189,0,実習,名詞,サ変接続,*,*,実習,36
190,0,健康,名詞,形容動詞語幹,*,*,健康,40
191,0,科学,名詞,一般,*,*,科学,38
192,0,概論,名詞,サ変接続,*,*,概論,36
193,0,健康,名詞,形容動詞語幹,*,*,健康,40
