,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,以下,名詞,非自立,副詞可能,*,以下,66
10,0,知識,名詞,一般,*,*,知識,38
12,0,能力,名詞,一般,*,*,能力,38
14,0,修得,名詞,サ変接続,*,*,修得,36
17,0,内積,名詞,一般,*,*,内積,38
18,0,空間,名詞,一般,*,*,空間,38
20,0,固有値,名詞,一般,*,*,固有値,38
22,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
24,0,求,名詞,固有名詞,地域,一般,求,46
25,0,解法,名詞,一般,*,*,解法,38
27,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
29,0,フーリエ解析,名詞,固有名詞,一般,*,フーリエ解析,41
31,0,講義,名詞,サ変接続,*,*,講義,36
33,0,履修,名詞,サ変接続,*,*,履修,36
38,0,以下,名詞,非自立,副詞可能,*,以下,66
40,0,知識,名詞,一般,*,*,知識,38
42,0,能力,名詞,一般,*,*,能力,38
44,0,修得,名詞,サ変接続,*,*,修得,36
47,0,内積,名詞,一般,*,*,内積,38
48,0,空間,名詞,一般,*,*,空間,38
50,0,固有値,名詞,一般,*,*,固有値,38
52,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
54,0,求,名詞,固有名詞,地域,一般,求,46
55,0,解法,名詞,一般,*,*,解法,38
57,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
59,0,フーリエ解析,名詞,固有名詞,一般,*,フーリエ解析,41
61,0,講義,名詞,サ変接続,*,*,講義,36
63,0,履修,名詞,サ変接続,*,*,履修,36
68,0,以下,名詞,非自立,副詞可能,*,以下,66
70,0,知識,名詞,一般,*,*,知識,38
72,0,能力,名詞,一般,*,*,能力,38
74,0,修得,名詞,サ変接続,*,*,修得,36
77,0,内積,名詞,一般,*,*,内積,38
78,0,空間,名詞,一般,*,*,空間,38
80,0,固有値,名詞,一般,*,*,固有値,38
82,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
84,0,求,名詞,固有名詞,地域,一般,求,46
85,0,解法,名詞,一般,*,*,解法,38
87,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
89,0,フーリエ解析,名詞,固有名詞,一般,*,フーリエ解析,41
91,0,講義,名詞,サ変接続,*,*,講義,36
93,0,履修,名詞,サ変接続,*,*,履修,36
98,0,以下,名詞,非自立,副詞可能,*,以下,66
100,0,知識,名詞,一般,*,*,知識,38
102,0,能力,名詞,一般,*,*,能力,38
104,0,修得,名詞,サ変接続,*,*,修得,36
107,0,内積,名詞,一般,*,*,内積,38
108,0,空間,名詞,一般,*,*,空間,38
110,0,固有値,名詞,一般,*,*,固有値,38
112,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
114,0,求,名詞,固有名詞,地域,一般,求,46
115,0,解法,名詞,一般,*,*,解法,38
117,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
119,0,フーリエ解析,名詞,固有名詞,一般,*,フーリエ解析,41
121,0,講義,名詞,サ変接続,*,*,講義,36
123,0,履修,名詞,サ変接続,*,*,履修,36
128,0,以下,名詞,非自立,副詞可能,*,以下,66
130,0,知識,名詞,一般,*,*,知識,38
132,0,能力,名詞,一般,*,*,能力,38
134,0,修得,名詞,サ変接続,*,*,修得,36
137,0,内積,名詞,一般,*,*,内積,38
138,0,空間,名詞,一般,*,*,空間,38
140,0,固有値,名詞,一般,*,*,固有値,38
142,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
144,0,求,名詞,固有名詞,地域,一般,求,46
145,0,解法,名詞,一般,*,*,解法,38
147,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
149,0,フーリエ解析,名詞,固有名詞,一般,*,フーリエ解析,41
