,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,現代,名詞,一般,*,*,現代,38
10,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
12,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
14,0,未来,名詞,一般,*,*,未来,38
15,0,像,名詞,接尾,一般,*,像,51
17,0,考える,動詞,自立,*,*,考える,31
18,0,上,名詞,非自立,副詞可能,*,上,66
20,0,重要,名詞,形容動詞語幹,*,*,重要,40
22,0,以下,名詞,非自立,副詞可能,*,以下,66
24,0,知識,名詞,一般,*,*,知識,38
26,0,能力,名詞,一般,*,*,能力,38
28,0,修得,名詞,サ変接続,*,*,修得,36
34,0,地球,名詞,一般,*,*,地球,38
36,0,誕生,名詞,サ変接続,*,*,誕生,36
38,0,歴史,名詞,一般,*,*,歴史,38
40,0,説明,名詞,サ変接続,*,*,説明,36
41,0,できる,動詞,自立,*,*,できる,31
46,0,地球,名詞,一般,*,*,地球,38
47,0,内部,名詞,一般,*,*,内部,38
49,0,表層,名詞,一般,*,*,表層,38
52,0,各部,名詞,一般,*,*,各部,38
54,0,構成,名詞,サ変接続,*,*,構成,36
56,0,物質,名詞,一般,*,*,物質,38
58,0,起源,名詞,一般,*,*,起源,38
60,0,分布,名詞,サ変接続,*,*,分布,36
63,0,変化,名詞,サ変接続,*,*,変化,36
66,0,化学,名詞,一般,*,*,化学,38
68,0,視点,名詞,一般,*,*,視点,38
70,0,説明,名詞,サ変接続,*,*,説明,36
71,0,できる,動詞,自立,*,*,できる,31
76,0,生物,名詞,一般,*,*,生物,38
78,0,地球,名詞,一般,*,*,地球,38
80,0,互いに,副詞,一般,*,*,互いに,34
84,0,影響,名詞,サ変接続,*,*,影響,36
86,0,与え,動詞,自立,*,*,与える,31
92,0,説明,名詞,サ変接続,*,*,説明,36
93,0,でき,動詞,自立,*,*,できる,31
95,0,多様,名詞,形容動詞語幹,*,*,多様,40
97,0,生命,名詞,一般,*,*,生命,38
99,0,とっ,動詞,自立,*,*,とる,31
102,0,将来,名詞,副詞可能,*,*,将来,67
104,0,環境,名詞,一般,*,*,環境,38
105,0,像,名詞,接尾,一般,*,像,51
107,0,描く,動詞,自立,*,*,描く,31
108,0,ため,名詞,非自立,副詞可能,*,ため,66
110,0,基礎,名詞,一般,*,*,基礎,38
112,0,身,名詞,一般,*,*,身,38
114,0,つける,動詞,自立,*,*,つける,31
116,0,講義,名詞,サ変接続,*,*,講義,36
118,0,履修,名詞,サ変接続,*,*,履修,36
123,0,現代,名詞,一般,*,*,現代,38
125,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
127,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
129,0,未来,名詞,一般,*,*,未来,38
130,0,像,名詞,接尾,一般,*,像,51
132,0,考える,動詞,自立,*,*,考える,31
133,0,上,名詞,非自立,副詞可能,*,上,66
135,0,重要,名詞,形容動詞語幹,*,*,重要,40
137,0,以下,名詞,非自立,副詞可能,*,以下,66
139,0,知識,名詞,一般,*,*,知識,38
141,0,能力,名詞,一般,*,*,能力,38
143,0,修得,名詞,サ変接続,*,*,修得,36
149,0,地球,名詞,一般,*,*,地球,38
151,0,誕生,名詞,サ変接続,*,*,誕生,36
153,0,歴史,名詞,一般,*,*,歴史,38
155,0,説明,名詞,サ変接続,*,*,説明,36
156,0,できる,動詞,自立,*,*,できる,31
161,0,地球,名詞,一般,*,*,地球,38
162,0,内部,名詞,一般,*,*,内部,38
164,0,表層,名詞,一般,*,*,表層,38
167,0,各部,名詞,一般,*,*,各部,38
169,0,構成,名詞,サ変接続,*,*,構成,36
171,0,物質,名詞,一般,*,*,物質,38
173,0,起源,名詞,一般,*,*,起源,38
175,0,分布,名詞,サ変接続,*,*,分布,36
178,0,変化,名詞,サ変接続,*,*,変化,36
181,0,化学,名詞,一般,*,*,化学,38
183,0,視点,名詞,一般,*,*,視点,38
185,0,説明,名詞,サ変接続,*,*,説明,36
186,0,できる,動詞,自立,*,*,できる,31
191,0,生物,名詞,一般,*,*,生物,38
193,0,地球,名詞,一般,*,*,地球,38
195,0,互いに,副詞,一般,*,*,互いに,34
199,0,影響,名詞,サ変接続,*,*,影響,36
201,0,与え,動詞,自立,*,*,与える,31
207,0,説明,名詞,サ変接続,*,*,説明,36
208,0,でき,動詞,自立,*,*,できる,31
210,0,多様,名詞,形容動詞語幹,*,*,多様,40
212,0,生命,名詞,一般,*,*,生命,38
214,0,とっ,動詞,自立,*,*,とる,31
217,0,将来,名詞,副詞可能,*,*,将来,67
219,0,環境,名詞,一般,*,*,環境,38
220,0,像,名詞,接尾,一般,*,像,51
222,0,描く,動詞,自立,*,*,描く,31
223,0,ため,名詞,非自立,副詞可能,*,ため,66
225,0,基礎,名詞,一般,*,*,基礎,38
227,0,身,名詞,一般,*,*,身,38
229,0,つける,動詞,自立,*,*,つける,31
231,0,講義,名詞,サ変接続,*,*,講義,36
233,0,履修,名詞,サ変接続,*,*,履修,36
238,0,現代,名詞,一般,*,*,現代,38
240,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
242,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
244,0,未来,名詞,一般,*,*,未来,38
245,0,像,名詞,接尾,一般,*,像,51
247,0,考える,動詞,自立,*,*,考える,31
248,0,上,名詞,非自立,副詞可能,*,上,66
250,0,重要,名詞,形容動詞語幹,*,*,重要,40
252,0,以下,名詞,非自立,副詞可能,*,以下,66
254,0,知識,名詞,一般,*,*,知識,38
256,0,能力,名詞,一般,*,*,能力,38
258,0,修得,名詞,サ変接続,*,*,修得,36
264,0,地球,名詞,一般,*,*,地球,38
266,0,誕生,名詞,サ変接続,*,*,誕生,36
268,0,歴史,名詞,一般,*,*,歴史,38
270,0,説明,名詞,サ変接続,*,*,説明,36
271,0,できる,動詞,自立,*,*,できる,31
276,0,地球,名詞,一般,*,*,地球,38
277,0,内部,名詞,一般,*,*,内部,38
279,0,表層,名詞,一般,*,*,表層,38
282,0,各部,名詞,一般,*,*,各部,38
284,0,構成,名詞,サ変接続,*,*,構成,36
286,0,物質,名詞,一般,*,*,物質,38
288,0,起源,名詞,一般,*,*,起源,38
290,0,分布,名詞,サ変接続,*,*,分布,36
293,0,変化,名詞,サ変接続,*,*,変化,36
296,0,化学,名詞,一般,*,*,化学,38
298,0,視点,名詞,一般,*,*,視点,38
300,0,説明,名詞,サ変接続,*,*,説明,36
301,0,できる,動詞,自立,*,*,できる,31
306,0,生物,名詞,一般,*,*,生物,38
308,0,地球,名詞,一般,*,*,地球,38
310,0,互いに,副詞,一般,*,*,互いに,34
314,0,影響,名詞,サ変接続,*,*,影響,36
316,0,与え,動詞,自立,*,*,与える,31
322,0,説明,名詞,サ変接続,*,*,説明,36
323,0,でき,動詞,自立,*,*,できる,31
325,0,多様,名詞,形容動詞語幹,*,*,多様,40
327,0,生命,名詞,一般,*,*,生命,38
329,0,とっ,動詞,自立,*,*,とる,31
332,0,将来,名詞,副詞可能,*,*,将来,67
334,0,環境,名詞,一般,*,*,環境,38
335,0,像,名詞,接尾,一般,*,像,51
337,0,描く,動詞,自立,*,*,描く,31
338,0,ため,名詞,非自立,副詞可能,*,ため,66
340,0,基礎,名詞,一般,*,*,基礎,38
342,0,身,名詞,一般,*,*,身,38
344,0,つける,動詞,自立,*,*,つける,31
346,0,講義,名詞,サ変接続,*,*,講義,36
348,0,履修,名詞,サ変接続,*,*,履修,36
353,0,現代,名詞,一般,*,*,現代,38
355,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
357,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
359,0,未来,名詞,一般,*,*,未来,38
360,0,像,名詞,接尾,一般,*,像,51
362,0,考える,動詞,自立,*,*,考える,31
363,0,上,名詞,非自立,副詞可能,*,上,66
365,0,重要,名詞,形容動詞語幹,*,*,重要,40
367,0,以下,名詞,非自立,副詞可能,*,以下,66
369,0,知識,名詞,一般,*,*,知識,38
371,0,能力,名詞,一般,*,*,能力,38
373,0,修得,名詞,サ変接続,*,*,修得,36
379,0,地球,名詞,一般,*,*,地球,38
381,0,誕生,名詞,サ変接続,*,*,誕生,36
383,0,歴史,名詞,一般,*,*,歴史,38
385,0,説明,名詞,サ変接続,*,*,説明,36
386,0,できる,動詞,自立,*,*,できる,31
391,0,地球,名詞,一般,*,*,地球,38
392,0,内部,名詞,一般,*,*,内部,38
394,0,表層,名詞,一般,*,*,表層,38
397,0,各部,名詞,一般,*,*,各部,38
399,0,構成,名詞,サ変接続,*,*,構成,36
401,0,物質,名詞,一般,*,*,物質,38
403,0,起源,名詞,一般,*,*,起源,38
405,0,分布,名詞,サ変接続,*,*,分布,36
408,0,変化,名詞,サ変接続,*,*,変化,36
411,0,化学,名詞,一般,*,*,化学,38
413,0,視点,名詞,一般,*,*,視点,38
415,0,説明,名詞,サ変接続,*,*,説明,36
416,0,できる,動詞,自立,*,*,できる,31
421,0,生物,名詞,一般,*,*,生物,38
423,0,地球,名詞,一般,*,*,地球,38
425,0,互いに,副詞,一般,*,*,互いに,34
429,0,影響,名詞,サ変接続,*,*,影響,36
431,0,与え,動詞,自立,*,*,与える,31
437,0,説明,名詞,サ変接続,*,*,説明,36
438,0,でき,動詞,自立,*,*,できる,31
440,0,多様,名詞,形容動詞語幹,*,*,多様,40
442,0,生命,名詞,一般,*,*,生命,38
444,0,とっ,動詞,自立,*,*,とる,31
447,0,将来,名詞,副詞可能,*,*,将来,67
449,0,環境,名詞,一般,*,*,環境,38
450,0,像,名詞,接尾,一般,*,像,51
452,0,描く,動詞,自立,*,*,描く,31
453,0,ため,名詞,非自立,副詞可能,*,ため,66
455,0,基礎,名詞,一般,*,*,基礎,38
457,0,身,名詞,一般,*,*,身,38
459,0,つける,動詞,自立,*,*,つける,31
461,0,講義,名詞,サ変接続,*,*,講義,36
463,0,履修,名詞,サ変接続,*,*,履修,36
468,0,現代,名詞,一般,*,*,現代,38
470,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
472,0,地球環境,名詞,固有名詞,一般,*,地球環境,41
474,0,未来,名詞,一般,*,*,未来,38
475,0,像,名詞,接尾,一般,*,像,51
477,0,考える,動詞,自立,*,*,考える,31
478,0,上,名詞,非自立,副詞可能,*,上,66
480,0,重要,名詞,形容動詞語幹,*,*,重要,40
482,0,以下,名詞,非自立,副詞可能,*,以下,66
484,0,知識,名詞,一般,*,*,知識,38
486,0,能力,名詞,一般,*,*,能力,38
488,0,修得,名詞,サ変接続,*,*,修得,36
494,0,地球,名詞,一般,*,*,地球,38
496,0,誕生,名詞,サ変接続,*,*,誕生,36
498,0,歴史,名詞,一般,*,*,歴史,38
500,0,説明,名詞,サ変接続,*,*,説明,36
501,0,できる,動詞,自立,*,*,できる,31
506,0,地球,名詞,一般,*,*,地球,38
507,0,内部,名詞,一般,*,*,内部,38
509,0,表層,名詞,一般,*,*,表層,38
512,0,各部,名詞,一般,*,*,各部,38
514,0,構成,名詞,サ変接続,*,*,構成,36
516,0,物質,名詞,一般,*,*,物質,38
518,0,起源,名詞,一般,*,*,起源,38
520,0,分布,名詞,サ変接続,*,*,分布,36
523,0,変化,名詞,サ変接続,*,*,変化,36
526,0,化学,名詞,一般,*,*,化学,38
528,0,視点,名詞,一般,*,*,視点,38
530,0,説明,名詞,サ変接続,*,*,説明,36
531,0,できる,動詞,自立,*,*,できる,31
536,0,生物,名詞,一般,*,*,生物,38
538,0,地球,名詞,一般,*,*,地球,38
540,0,互いに,副詞,一般,*,*,互いに,34
544,0,影響,名詞,サ変接続,*,*,影響,36
546,0,与え,動詞,自立,*,*,与える,31
552,0,説明,名詞,サ変接続,*,*,説明,36
553,0,でき,動詞,自立,*,*,できる,31
555,0,多様,名詞,形容動詞語幹,*,*,多様,40
557,0,生命,名詞,一般,*,*,生命,38
559,0,とっ,動詞,自立,*,*,とる,31
562,0,将来,名詞,副詞可能,*,*,将来,67
564,0,環境,名詞,一般,*,*,環境,38
565,0,像,名詞,接尾,一般,*,像,51
567,0,描く,動詞,自立,*,*,描く,31
568,0,ため,名詞,非自立,副詞可能,*,ため,66
570,0,基礎,名詞,一般,*,*,基礎,38
572,0,身,名詞,一般,*,*,身,38
574,0,つける,動詞,自立,*,*,つける,31
