,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,地球,名詞,一般,*,*,地球,38
1,0,内部,名詞,一般,*,*,内部,38
3,0,概観,名詞,サ変接続,*,*,概観,36
4,0,地殻,名詞,一般,*,*,地殻,38
6,0,マントル,名詞,一般,*,*,マントル,38
8,0,コア,名詞,一般,*,*,コア,38
9,0,地球,名詞,一般,*,*,地球,38
10,0,内部,名詞,一般,*,*,内部,38
12,0,化学,名詞,一般,*,*,化学,38
13,0,組成,名詞,サ変接続,*,*,組成,36
14,0,マントル,名詞,一般,*,*,マントル,38
16,0,組成,名詞,サ変接続,*,*,組成,36
18,0,コア,名詞,一般,*,*,コア,38
20,0,組成,名詞,サ変接続,*,*,組成,36
22,0,太陽系,名詞,一般,*,*,太陽系,38
23,0,元素,名詞,一般,*,*,元素,38
24,0,存在,名詞,サ変接続,*,*,存在,36
25,0,度,名詞,接尾,一般,*,度,51
26,0,地球,名詞,一般,*,*,地球,38
27,0,内部,名詞,一般,*,*,内部,38
29,0,圧力,名詞,一般,*,*,圧力,38
31,0,温度,名詞,一般,*,*,温度,38
32,0,分布,名詞,サ変接続,*,*,分布,36
33,0,マグマ,名詞,一般,*,*,マグマ,38
35,0,融解,名詞,サ変接続,*,*,融解,36
36,0,温度,名詞,一般,*,*,温度,38
38,0,コア,名詞,一般,*,*,コア,38
40,0,温度,名詞,一般,*,*,温度,38
41,0,地球,名詞,一般,*,*,地球,38
43,0,形成,名詞,サ変接続,*,*,形成,36
45,0,進化,名詞,サ変接続,*,*,進化,36
46,0,マグマ,名詞,一般,*,*,マグマ,38
47,0,オーシャン,名詞,一般,*,*,オーシャン,38
49,0,コア,名詞,一般,*,*,コア,38
51,0,形成,名詞,サ変接続,*,*,形成,36
52,0,地球,名詞,一般,*,*,地球,38
54,0,水,名詞,一般,*,*,水,38
55,0,マントル,名詞,一般,*,*,マントル,38
57,0,水,名詞,一般,*,*,水,38
59,0,コア,名詞,一般,*,*,コア,38
61,0,水素,名詞,一般,*,*,水素,38
62,0,マントル,名詞,一般,*,*,マントル,38
64,0,層,名詞,一般,*,*,層,38
65,0,構造,名詞,一般,*,*,構造,38
67,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
68,0,マントル,名詞,一般,*,*,マントル,38
69,0,主要,名詞,形容動詞語幹,*,*,主要,40
70,0,鉱物,名詞,一般,*,*,鉱物,38
72,0,相転移,名詞,固有名詞,一般,*,相転移,41
73,0,コア,名詞,一般,*,*,コア,38
75,0,マントル,名詞,一般,*,*,マントル,38
76,0,境界,名詞,一般,*,*,境界,38
78,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
80,0,境界,名詞,一般,*,*,境界,38
81,0,コア,名詞,一般,*,*,コア,38
83,0,ダイナミクス,名詞,固有名詞,一般,*,ダイナミクス,41
85,0,熱,名詞,一般,*,*,熱,38
86,0,進化,名詞,サ変接続,*,*,進化,36
88,0,境界,名詞,一般,*,*,境界,38
90,0,熱,名詞,一般,*,*,熱,38
91,0,流量,名詞,一般,*,*,流量,38
92,0,原始惑星系円盤,名詞,固有名詞,一般,*,原始惑星系円盤,41
94,0,熱,名詞,一般,*,*,熱,38
95,0,構造,名詞,一般,*,*,構造,38
96,0,ガス,名詞,一般,*,*,ガス,38
97,0,円盤,名詞,一般,*,*,円盤,38
99,0,熱源,名詞,一般,*,*,熱源,38
100,0,原始惑星系円盤,名詞,固有名詞,一般,*,原始惑星系円盤,41
102,0,力学,名詞,一般,*,*,力学,38
103,0,構造,名詞,一般,*,*,構造,38
104,0,ガス,名詞,一般,*,*,ガス,38
105,0,円盤,名詞,一般,*,*,円盤,38
107,0,力学,名詞,一般,*,*,力学,38
108,0,的,名詞,接尾,形容動詞語幹,*,的,52
109,0,釣り合い,名詞,一般,*,*,釣り合い,38
110,0,円盤,名詞,一般,*,*,円盤,38
111,0,降着,名詞,サ変接続,*,*,降着,36
112,0,ガス,名詞,一般,*,*,ガス,38
113,0,円盤,名詞,一般,*,*,円盤,38
115,0,粘性,名詞,一般,*,*,粘性,38
116,0,拡散,名詞,サ変接続,*,*,拡散,36
117,0,ダスト,名詞,一般,*,*,ダスト,38
119,0,運動,名詞,サ変接続,*,*,運動,36
120,0,ダスト,名詞,一般,*,*,ダスト,38
123,0,ガス,名詞,一般,*,*,ガス,38
124,0,抵抗,名詞,サ変接続,*,*,抵抗,36
125,0,ダスト,名詞,一般,*,*,ダスト,38
127,0,合体,名詞,サ変接続,*,*,合体,36
128,0,成長,名詞,サ変接続,*,*,成長,36
130,0,微惑星,名詞,固有名詞,一般,*,微惑星,41
132,0,形成,名詞,サ変接続,*,*,形成,36
133,0,ダスト,名詞,一般,*,*,ダスト,38
135,0,衝突,名詞,サ変接続,*,*,衝突,36
136,0,確率,名詞,一般,*,*,確率,38
137,0,微惑星,名詞,固有名詞,一般,*,微惑星,41
139,0,合体,名詞,サ変接続,*,*,合体,36
140,0,成長,名詞,サ変接続,*,*,成長,36
141,0,微惑星,名詞,固有名詞,一般,*,微惑星,41
143,0,衝突,名詞,サ変接続,*,*,衝突,36
