,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,プログラム,名詞,サ変接続,*,*,プログラム,36
18,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
19,0,内部,名詞,一般,*,*,内部,38
24,0,実行,名詞,サ変接続,*,*,実行,36
29,0,説明,名詞,サ変接続,*,*,説明,36
30,0,できる,動詞,自立,*,*,できる,31
34,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
37,0,構成要素,名詞,固有名詞,一般,*,構成要素,41
39,0,役割,名詞,一般,*,*,役割,38
42,0,仕組み,動詞,自立,*,*,仕組む,31
44,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
46,0,説明,名詞,サ変接続,*,*,説明,36
47,0,できる,動詞,自立,*,*,できる,31
51,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
53,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
55,0,インタープリタ,名詞,一般,*,*,インタープリタ,38
57,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
59,0,実装,名詞,サ変接続,*,*,実装,36
60,0,できる,動詞,自立,*,*,できる,31
63,0,講義,名詞,サ変接続,*,*,講義,36
65,0,履修,名詞,サ変接続,*,*,履修,36
69,0,次,名詞,一般,*,*,次,38
71,0,能力,名詞,一般,*,*,能力,38
73,0,修得,名詞,サ変接続,*,*,修得,36
78,0,プログラム,名詞,サ変接続,*,*,プログラム,36
80,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
81,0,内部,名詞,一般,*,*,内部,38
86,0,実行,名詞,サ変接続,*,*,実行,36
91,0,説明,名詞,サ変接続,*,*,説明,36
92,0,できる,動詞,自立,*,*,できる,31
96,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
99,0,構成要素,名詞,固有名詞,一般,*,構成要素,41
101,0,役割,名詞,一般,*,*,役割,38
104,0,仕組み,動詞,自立,*,*,仕組む,31
106,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
108,0,説明,名詞,サ変接続,*,*,説明,36
109,0,できる,動詞,自立,*,*,できる,31
113,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
115,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
117,0,インタープリタ,名詞,一般,*,*,インタープリタ,38
119,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
121,0,実装,名詞,サ変接続,*,*,実装,36
122,0,できる,動詞,自立,*,*,できる,31
125,0,講義,名詞,サ変接続,*,*,講義,36
127,0,履修,名詞,サ変接続,*,*,履修,36
131,0,次,名詞,一般,*,*,次,38
133,0,能力,名詞,一般,*,*,能力,38
135,0,修得,名詞,サ変接続,*,*,修得,36
140,0,プログラム,名詞,サ変接続,*,*,プログラム,36
142,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
143,0,内部,名詞,一般,*,*,内部,38
148,0,実行,名詞,サ変接続,*,*,実行,36
153,0,説明,名詞,サ変接続,*,*,説明,36
154,0,できる,動詞,自立,*,*,できる,31
158,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
161,0,構成要素,名詞,固有名詞,一般,*,構成要素,41
163,0,役割,名詞,一般,*,*,役割,38
166,0,仕組み,動詞,自立,*,*,仕組む,31
168,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
170,0,説明,名詞,サ変接続,*,*,説明,36
171,0,できる,動詞,自立,*,*,できる,31
175,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
177,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
179,0,インタープリタ,名詞,一般,*,*,インタープリタ,38
181,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
183,0,実装,名詞,サ変接続,*,*,実装,36
184,0,できる,動詞,自立,*,*,できる,31
187,0,講義,名詞,サ変接続,*,*,講義,36
189,0,履修,名詞,サ変接続,*,*,履修,36
193,0,次,名詞,一般,*,*,次,38
195,0,能力,名詞,一般,*,*,能力,38
197,0,修得,名詞,サ変接続,*,*,修得,36
202,0,プログラム,名詞,サ変接続,*,*,プログラム,36
204,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
205,0,内部,名詞,一般,*,*,内部,38
210,0,実行,名詞,サ変接続,*,*,実行,36
215,0,説明,名詞,サ変接続,*,*,説明,36
216,0,できる,動詞,自立,*,*,できる,31
220,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
223,0,構成要素,名詞,固有名詞,一般,*,構成要素,41
225,0,役割,名詞,一般,*,*,役割,38
228,0,仕組み,動詞,自立,*,*,仕組む,31
230,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
232,0,説明,名詞,サ変接続,*,*,説明,36
233,0,できる,動詞,自立,*,*,できる,31
237,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
239,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
241,0,インタープリタ,名詞,一般,*,*,インタープリタ,38
243,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
245,0,実装,名詞,サ変接続,*,*,実装,36
246,0,できる,動詞,自立,*,*,できる,31
249,0,講義,名詞,サ変接続,*,*,講義,36
251,0,履修,名詞,サ変接続,*,*,履修,36
255,0,次,名詞,一般,*,*,次,38
257,0,能力,名詞,一般,*,*,能力,38
259,0,修得,名詞,サ変接続,*,*,修得,36
264,0,プログラム,名詞,サ変接続,*,*,プログラム,36
266,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
267,0,内部,名詞,一般,*,*,内部,38
272,0,実行,名詞,サ変接続,*,*,実行,36
277,0,説明,名詞,サ変接続,*,*,説明,36
278,0,できる,動詞,自立,*,*,できる,31
282,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
285,0,構成要素,名詞,固有名詞,一般,*,構成要素,41
287,0,役割,名詞,一般,*,*,役割,38
290,0,仕組み,動詞,自立,*,*,仕組む,31
292,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
294,0,説明,名詞,サ変接続,*,*,説明,36
295,0,できる,動詞,自立,*,*,できる,31
299,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
301,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
303,0,インタープリタ,名詞,一般,*,*,インタープリタ,38
305,0,コンパイラ,名詞,一般,*,*,コンパイラ,38
307,0,実装,名詞,サ変接続,*,*,実装,36
308,0,できる,動詞,自立,*,*,できる,31
