Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,短い,形容詞,自立,*,*,短い,10
3,0,日常,名詞,一般,*,*,日常,38
4,0,会話,名詞,サ変接続,*,*,会話,36
6,0,聞き取れる,動詞,自立,*,*,聞き取れる,31
10,1,数量詞,名詞,固有名詞,一般,*,数量詞,41
12,1,特徴,名詞,一般,*,*,特徴,38
14,1,理解,名詞,サ変接続,*,*,理解,36
19,2,基本,名詞,一般,*,*,基本,38
20,2,的,名詞,接尾,形容動詞語幹,*,的,52
22,2,文,名詞,一般,*,*,文,38
24,2,つくる,動詞,自立,*,*,つくる,31
27,2,短い,形容詞,自立,*,*,短い,10
28,2,日常,名詞,一般,*,*,日常,38
29,2,会話,名詞,サ変接続,*,*,会話,36
31,2,聞き取れる,動詞,自立,*,*,聞き取れる,31
35,3,数量詞,名詞,固有名詞,一般,*,数量詞,41
37,3,特徴,名詞,一般,*,*,特徴,38
39,3,理解,名詞,サ変接続,*,*,理解,36
44,4,基本,名詞,一般,*,*,基本,38
45,4,的,名詞,接尾,形容動詞語幹,*,的,52
47,4,文,名詞,一般,*,*,文,38
49,4,つくる,動詞,自立,*,*,つくる,31
52,4,短い,形容詞,自立,*,*,短い,10
53,4,日常,名詞,一般,*,*,日常,38
54,4,会話,名詞,サ変接続,*,*,会話,36
56,4,聞き取れる,動詞,自立,*,*,聞き取れる,31
60,5,数量詞,名詞,固有名詞,一般,*,数量詞,41
62,5,特徴,名詞,一般,*,*,特徴,38
64,5,理解,名詞,サ変接続,*,*,理解,36
69,6,基本,名詞,一般,*,*,基本,38
70,6,的,名詞,接尾,形容動詞語幹,*,的,52
72,6,文,名詞,一般,*,*,文,38
74,6,つくる,動詞,自立,*,*,つくる,31
77,6,短い,形容詞,自立,*,*,短い,10
78,6,日常,名詞,一般,*,*,日常,38
79,6,会話,名詞,サ変接続,*,*,会話,36
81,6,聞き取れる,動詞,自立,*,*,聞き取れる,31
85,7,数量詞,名詞,固有名詞,一般,*,数量詞,41
87,7,特徴,名詞,一般,*,*,特徴,38
89,7,理解,名詞,サ変接続,*,*,理解,36
94,8,基本,名詞,一般,*,*,基本,38
95,8,的,名詞,接尾,形容動詞語幹,*,的,52
97,8,文,名詞,一般,*,*,文,38
99,8,つくる,動詞,自立,*,*,つくる,31
102,8,短い,形容詞,自立,*,*,短い,10
103,8,日常,名詞,一般,*,*,日常,38
104,8,会話,名詞,サ変接続,*,*,会話,36
106,8,聞き取れる,動詞,自立,*,*,聞き取れる,31
110,9,数量詞,名詞,固有名詞,一般,*,数量詞,41
112,9,特徴,名詞,一般,*,*,特徴,38
114,9,理解,名詞,サ変接続,*,*,理解,36
119,10,基本,名詞,一般,*,*,基本,38
120,10,的,名詞,接尾,形容動詞語幹,*,的,52
122,10,文,名詞,一般,*,*,文,38
124,10,つくる,動詞,自立,*,*,つくる,31
127,10,短い,形容詞,自立,*,*,短い,10
128,10,日常,名詞,一般,*,*,日常,38
129,10,会話,名詞,サ変接続,*,*,会話,36
131,10,聞き取れる,動詞,自立,*,*,聞き取れる,31
135,11,数量詞,名詞,固有名詞,一般,*,数量詞,41
137,11,特徴,名詞,一般,*,*,特徴,38
139,11,理解,名詞,サ変接続,*,*,理解,36
144,12,基本,名詞,一般,*,*,基本,38
145,12,的,名詞,接尾,形容動詞語幹,*,的,52
147,12,文,名詞,一般,*,*,文,38
149,12,つくる,動詞,自立,*,*,つくる,31
152,12,短い,形容詞,自立,*,*,短い,10
153,12,日常,名詞,一般,*,*,日常,38
154,12,会話,名詞,サ変接続,*,*,会話,36
156,12,聞き取れる,動詞,自立,*,*,聞き取れる,31
160,13,数量詞,名詞,固有名詞,一般,*,数量詞,41
162,13,特徴,名詞,一般,*,*,特徴,38
164,13,理解,名詞,サ変接続,*,*,理解,36
169,14,基本,名詞,一般,*,*,基本,38
170,14,的,名詞,接尾,形容動詞語幹,*,的,52
172,14,文,名詞,一般,*,*,文,38
174,14,つくる,動詞,自立,*,*,つくる,31
177,14,短い,形容詞,自立,*,*,短い,10
178,14,日常,名詞,一般,*,*,日常,38
179,14,会話,名詞,サ変接続,*,*,会話,36
181,14,聞き取れる,動詞,自立,*,*,聞き取れる,31
185,15,数量詞,名詞,固有名詞,一般,*,数量詞,41
187,15,特徴,名詞,一般,*,*,特徴,38
189,15,理解,名詞,サ変接続,*,*,理解,36
194,16,基本,名詞,一般,*,*,基本,38
195,16,的,名詞,接尾,形容動詞語幹,*,的,52
197,16,文,名詞,一般,*,*,文,38
199,16,つくる,動詞,自立,*,*,つくる,31
202,16,短い,形容詞,自立,*,*,短い,10
203,16,日常,名詞,一般,*,*,日常,38
204,16,会話,名詞,サ変接続,*,*,会話,36
206,16,聞き取れる,動詞,自立,*,*,聞き取れる,31
210,17,数量詞,名詞,固有名詞,一般,*,数量詞,41
212,17,特徴,名詞,一般,*,*,特徴,38
214,17,理解,名詞,サ変接続,*,*,理解,36
219,18,基本,名詞,一般,*,*,基本,38
220,18,的,名詞,接尾,形容動詞語幹,*,的,52
222,18,文,名詞,一般,*,*,文,38
224,18,つくる,動詞,自立,*,*,つくる,31
227,18,短い,形容詞,自立,*,*,短い,10
228,18,日常,名詞,一般,*,*,日常,38
229,18,会話,名詞,サ変接続,*,*,会話,36
231,18,聞き取れる,動詞,自立,*,*,聞き取れる,31
235,19,数量詞,名詞,固有名詞,一般,*,数量詞,41
237,19,特徴,名詞,一般,*,*,特徴,38
239,19,理解,名詞,サ変接続,*,*,理解,36
244,20,基本,名詞,一般,*,*,基本,38
245,20,的,名詞,接尾,形容動詞語幹,*,的,52
247,20,文,名詞,一般,*,*,文,38
249,20,つくる,動詞,自立,*,*,つくる,31
252,20,短い,形容詞,自立,*,*,短い,10
253,20,日常,名詞,一般,*,*,日常,38
254,20,会話,名詞,サ変接続,*,*,会話,36
256,20,聞き取れる,動詞,自立,*,*,聞き取れる,31
260,21,数量詞,名詞,固有名詞,一般,*,数量詞,41
