Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,到達,名詞,サ変接続,*,*,到達,36
2,0,目標,名詞,一般,*,*,目標,38
6,0,講義,名詞,サ変接続,*,*,講義,36
8,0,履修,名詞,サ変接続,*,*,履修,36
13,0,最尤法,名詞,一般,*,*,最尤法,38
15,0,事後確率,名詞,固有名詞,一般,*,事後確率,41
16,0,最大,名詞,一般,*,*,最大,38
17,0,化,名詞,接尾,サ変接続,*,化,50
18,0,法,名詞,接尾,一般,*,法,51
20,0,実験,名詞,サ変接続,*,*,実験,36
21,0,データ,名詞,一般,*,*,データ,38
23,0,パラメータ,名詞,一般,*,*,パラメータ,38
25,0,推定,名詞,サ変接続,*,*,推定,36
26,0,できる,動詞,自立,*,*,できる,31
29,0,なる,動詞,自立,*,*,なる,31
32,0,到達,名詞,サ変接続,*,*,到達,36
33,0,目標,名詞,一般,*,*,目標,38
38,0,そのため,名詞,一般,*,*,そのため,38
40,0,基礎,名詞,一般,*,*,基礎,38
41,0,知識,名詞,一般,*,*,知識,38
44,0,確率,名詞,一般,*,*,確率,38
46,0,確率,名詞,一般,*,*,確率,38
47,0,密度,名詞,一般,*,*,密度,38
48,0,分布,名詞,サ変接続,*,*,分布,36
50,0,統計量,名詞,固有名詞,一般,*,統計量,41
52,0,学び,動詞,自立,*,*,学ぶ,31
54,0,ポアソン,名詞,一般,*,*,ポアソン,38
55,0,分布,名詞,サ変接続,*,*,分布,36
57,0,正規分布,名詞,固有名詞,一般,*,正規分布,41
60,0,代表,名詞,サ変接続,*,*,代表,36
61,0,的,名詞,接尾,形容動詞語幹,*,的,52
63,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
64,0,モデル,名詞,一般,*,*,モデル,38
66,0,基づく,動詞,自立,*,*,基づく,31
67,0,最尤法,名詞,一般,*,*,最尤法,38
69,0,事後確率,名詞,固有名詞,一般,*,事後確率,41
70,0,最大,名詞,一般,*,*,最大,38
71,0,化,名詞,接尾,サ変接続,*,化,50
72,0,法,名詞,接尾,一般,*,法,51
74,0,応用,名詞,サ変接続,*,*,応用,36
75,0,できる,動詞,自立,*,*,できる,31
78,0,なる,動詞,自立,*,*,なる,31
81,0,目標,名詞,一般,*,*,目標,38
87,0,テーマ,名詞,一般,*,*,テーマ,38
90,0,単純,名詞,形容動詞語幹,*,*,単純,40
92,0,最尤法,名詞,一般,*,*,最尤法,38
94,0,事後確率,名詞,固有名詞,一般,*,事後確率,41
95,0,最大,名詞,一般,*,*,最大,38
96,0,化,名詞,接尾,サ変接続,*,化,50
97,0,法,名詞,接尾,一般,*,法,51
99,0,利用可能,名詞,固有名詞,一般,*,利用可能,41
101,0,なる,動詞,自立,*,*,なる,31
107,0,ポアソン,名詞,一般,*,*,ポアソン,38
108,0,分布,名詞,サ変接続,*,*,分布,36
110,0,導出,名詞,サ変接続,*,*,導出,36
112,0,中心極限定理,名詞,固有名詞,一般,*,中心極限定理,41
114,0,証明,名詞,サ変接続,*,*,証明,36
117,0,基礎,名詞,一般,*,*,基礎,38
120,0,現象,名詞,一般,*,*,現象,38
123,0,関連,名詞,サ変接続,*,*,関連,36
125,0,意識,名詞,サ変接続,*,*,意識,36
126,0,できる,動詞,自立,*,*,できる,31
129,0,基礎,名詞,一般,*,*,基礎,38
131,0,身,名詞,一般,*,*,身,38
133,0,つけ,動詞,自立,*,*,つける,31
137,0,到達,名詞,サ変接続,*,*,到達,36
138,0,目標,名詞,一般,*,*,目標,38
142,0,講義,名詞,サ変接続,*,*,講義,36
144,0,履修,名詞,サ変接続,*,*,履修,36
149,0,最尤法,名詞,一般,*,*,最尤法,38
151,0,事後確率,名詞,固有名詞,一般,*,事後確率,41
