Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,次,名詞,一般,*,*,次,38
10,0,能力,名詞,一般,*,*,能力,38
12,0,修得,名詞,サ変接続,*,*,修得,36
17,0,分光学,名詞,固有名詞,一般,*,分光学,41
24,0,基礎,名詞,一般,*,*,基礎,38
26,0,説明,名詞,サ変接続,*,*,説明,36
27,0,できる,動詞,自立,*,*,できる,31
30,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
32,0,ラマン分光法,名詞,固有名詞,一般,*,ラマン分光法,41
34,0,理解,名詞,サ変接続,*,*,理解,36
38,0,スペクトル,名詞,一般,*,*,スペクトル,38
40,0,解釈,名詞,サ変接続,*,*,解釈,36
41,0,できる,動詞,自立,*,*,できる,31
44,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
46,0,基礎,名詞,一般,*,*,基礎,38
48,0,説明,名詞,サ変接続,*,*,説明,36
49,0,でき,動詞,自立,*,*,できる,31
52,0,測定,名詞,サ変接続,*,*,測定,36
53,0,結果,名詞,副詞可能,*,*,結果,67
55,0,理解,名詞,サ変接続,*,*,理解,36
56,0,できる,動詞,自立,*,*,できる,31
59,0,高分子,名詞,一般,*,*,高分子,38
61,0,分子量,名詞,固有名詞,一般,*,分子量,41
63,0,散乱,名詞,サ変接続,*,*,散乱,36
64,0,法,名詞,接尾,一般,*,法,51
66,0,説明,名詞,サ変接続,*,*,説明,36
67,0,できる,動詞,自立,*,*,できる,31
70,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
71,0,法,名詞,接尾,一般,*,法,51
73,0,原理,名詞,一般,*,*,原理,38
75,0,説明,名詞,サ変接続,*,*,説明,36
76,0,でき,動詞,自立,*,*,できる,31
78,0,スペクトル,名詞,一般,*,*,スペクトル,38
79,0,解析,名詞,サ変接続,*,*,解析,36
81,0,できる,動詞,自立,*,*,できる,31
83,0,講義,名詞,サ変接続,*,*,講義,36
85,0,履修,名詞,サ変接続,*,*,履修,36
90,0,次,名詞,一般,*,*,次,38
92,0,能力,名詞,一般,*,*,能力,38
94,0,修得,名詞,サ変接続,*,*,修得,36
99,0,分光学,名詞,固有名詞,一般,*,分光学,41
106,0,基礎,名詞,一般,*,*,基礎,38
108,0,説明,名詞,サ変接続,*,*,説明,36
109,0,できる,動詞,自立,*,*,できる,31
112,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
114,0,理解,名詞,サ変接続,*,*,理解,36
118,0,スペクトル,名詞,一般,*,*,スペクトル,38
120,0,解釈,名詞,サ変接続,*,*,解釈,36
121,0,できる,動詞,自立,*,*,できる,31
124,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
126,0,基礎,名詞,一般,*,*,基礎,38
128,0,説明,名詞,サ変接続,*,*,説明,36
129,0,でき,動詞,自立,*,*,できる,31
132,0,測定,名詞,サ変接続,*,*,測定,36
133,0,結果,名詞,副詞可能,*,*,結果,67
135,0,理解,名詞,サ変接続,*,*,理解,36
136,0,できる,動詞,自立,*,*,できる,31
139,0,高分子,名詞,一般,*,*,高分子,38
141,0,分子量,名詞,固有名詞,一般,*,分子量,41
143,0,散乱,名詞,サ変接続,*,*,散乱,36
144,0,法,名詞,接尾,一般,*,法,51
146,0,説明,名詞,サ変接続,*,*,説明,36
147,0,できる,動詞,自立,*,*,できる,31
150,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
151,0,法,名詞,接尾,一般,*,法,51
153,0,原理,名詞,一般,*,*,原理,38
155,0,説明,名詞,サ変接続,*,*,説明,36
156,0,でき,動詞,自立,*,*,できる,31
158,0,スペクトル,名詞,一般,*,*,スペクトル,38
159,0,解析,名詞,サ変接続,*,*,解析,36
161,0,できる,動詞,自立,*,*,できる,31
163,0,講義,名詞,サ変接続,*,*,講義,36
165,0,履修,名詞,サ変接続,*,*,履修,36
170,0,次,名詞,一般,*,*,次,38
172,0,能力,名詞,一般,*,*,能力,38
174,0,修得,名詞,サ変接続,*,*,修得,36
179,0,分光学,名詞,固有名詞,一般,*,分光学,41
186,0,基礎,名詞,一般,*,*,基礎,38
188,0,説明,名詞,サ変接続,*,*,説明,36
189,0,できる,動詞,自立,*,*,できる,31
192,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
194,0,理解,名詞,サ変接続,*,*,理解,36
198,0,スペクトル,名詞,一般,*,*,スペクトル,38
200,0,解釈,名詞,サ変接続,*,*,解釈,36
201,0,できる,動詞,自立,*,*,できる,31
204,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
206,0,基礎,名詞,一般,*,*,基礎,38
208,0,説明,名詞,サ変接続,*,*,説明,36
209,0,でき,動詞,自立,*,*,できる,31
212,0,測定,名詞,サ変接続,*,*,測定,36
213,0,結果,名詞,副詞可能,*,*,結果,67
215,0,理解,名詞,サ変接続,*,*,理解,36
216,0,できる,動詞,自立,*,*,できる,31
219,0,高分子,名詞,一般,*,*,高分子,38
221,0,分子量,名詞,固有名詞,一般,*,分子量,41
223,0,散乱,名詞,サ変接続,*,*,散乱,36
224,0,法,名詞,接尾,一般,*,法,51
226,0,説明,名詞,サ変接続,*,*,説明,36
227,0,できる,動詞,自立,*,*,できる,31
230,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
231,0,法,名詞,接尾,一般,*,法,51
233,0,原理,名詞,一般,*,*,原理,38
235,0,説明,名詞,サ変接続,*,*,説明,36
236,0,でき,動詞,自立,*,*,できる,31
238,0,スペクトル,名詞,一般,*,*,スペクトル,38
239,0,解析,名詞,サ変接続,*,*,解析,36
241,0,できる,動詞,自立,*,*,できる,31
243,0,講義,名詞,サ変接続,*,*,講義,36
245,0,履修,名詞,サ変接続,*,*,履修,36
250,0,次,名詞,一般,*,*,次,38
252,0,能力,名詞,一般,*,*,能力,38
254,0,修得,名詞,サ変接続,*,*,修得,36
259,0,分光学,名詞,固有名詞,一般,*,分光学,41
266,0,基礎,名詞,一般,*,*,基礎,38
268,0,説明,名詞,サ変接続,*,*,説明,36
269,0,できる,動詞,自立,*,*,できる,31
272,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
274,0,理解,名詞,サ変接続,*,*,理解,36
278,0,スペクトル,名詞,一般,*,*,スペクトル,38
280,0,解釈,名詞,サ変接続,*,*,解釈,36
281,0,できる,動詞,自立,*,*,できる,31
284,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
286,0,基礎,名詞,一般,*,*,基礎,38
288,0,説明,名詞,サ変接続,*,*,説明,36
289,0,でき,動詞,自立,*,*,できる,31
292,0,測定,名詞,サ変接続,*,*,測定,36
293,0,結果,名詞,副詞可能,*,*,結果,67
295,0,理解,名詞,サ変接続,*,*,理解,36
296,0,できる,動詞,自立,*,*,できる,31
299,0,高分子,名詞,一般,*,*,高分子,38
301,0,分子量,名詞,固有名詞,一般,*,分子量,41
303,0,散乱,名詞,サ変接続,*,*,散乱,36
304,0,法,名詞,接尾,一般,*,法,51
306,0,説明,名詞,サ変接続,*,*,説明,36
307,0,できる,動詞,自立,*,*,できる,31
310,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
311,0,法,名詞,接尾,一般,*,法,51
313,0,原理,名詞,一般,*,*,原理,38
315,0,説明,名詞,サ変接続,*,*,説明,36
316,0,でき,動詞,自立,*,*,できる,31
318,0,スペクトル,名詞,一般,*,*,スペクトル,38
319,0,解析,名詞,サ変接続,*,*,解析,36
321,0,できる,動詞,自立,*,*,できる,31
324,0,質量分析,名詞,固有名詞,一般,*,質量分析,41
326,0,方法,名詞,一般,*,*,方法,38
328,0,原理,名詞,一般,*,*,原理,38
330,0,説明,名詞,サ変接続,*,*,説明,36
331,0,できる,動詞,自立,*,*,できる,31
333,0,講義,名詞,サ変接続,*,*,講義,36
335,0,履修,名詞,サ変接続,*,*,履修,36
340,0,次,名詞,一般,*,*,次,38
342,0,能力,名詞,一般,*,*,能力,38
344,0,修得,名詞,サ変接続,*,*,修得,36
349,0,分光学,名詞,固有名詞,一般,*,分光学,41
356,0,基礎,名詞,一般,*,*,基礎,38
358,0,説明,名詞,サ変接続,*,*,説明,36
359,0,できる,動詞,自立,*,*,できる,31
362,0,紫,名詞,一般,*,*,紫,38
363,0,外,名詞,接尾,一般,*,外,51
364,0,可視,名詞,一般,*,*,可視,38
365,0,分光法,名詞,固有名詞,一般,*,分光法,41
367,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
369,0,ラマン分光法,名詞,固有名詞,一般,*,ラマン分光法,41
371,0,原理,名詞,一般,*,*,原理,38
375,0,理解,名詞,サ変接続,*,*,理解,36
379,0,スペクトル,名詞,一般,*,*,スペクトル,38
381,0,解釈,名詞,サ変接続,*,*,解釈,36
382,0,できる,動詞,自立,*,*,できる,31
386,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
388,0,基礎,名詞,一般,*,*,基礎,38
390,0,説明,名詞,サ変接続,*,*,説明,36
391,0,でき,動詞,自立,*,*,できる,31
393,0,測定,名詞,サ変接続,*,*,測定,36
394,0,結果,名詞,副詞可能,*,*,結果,67
396,0,理解,名詞,サ変接続,*,*,理解,36
397,0,できる,動詞,自立,*,*,できる,31
401,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
402,0,法,名詞,接尾,一般,*,法,51
404,0,原理,名詞,一般,*,*,原理,38
406,0,説明,名詞,サ変接続,*,*,説明,36
407,0,でき,動詞,自立,*,*,できる,31
409,0,スペクトル,名詞,一般,*,*,スペクトル,38
410,0,解析,名詞,サ変接続,*,*,解析,36
412,0,できる,動詞,自立,*,*,できる,31
0,0,分光,名詞,サ変接続,*,*,分光,36
1,0,分析,名詞,サ変接続,*,*,分析,36
2,0,スペクトル,名詞,一般,*,*,スペクトル,38
3,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
4,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
5,0,分子量,名詞,固有名詞,一般,*,分子量,41
6,0,散乱,名詞,サ変接続,*,*,散乱,36
7,0,法,名詞,接尾,一般,*,法,51
8,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
10,0,NMR,名詞,固有名詞,一般,*,NMR,41
12,0,法,名詞,一般,*,*,法,38
13,0,分光,名詞,サ変接続,*,*,分光,36
14,0,分析,名詞,サ変接続,*,*,分析,36
15,0,スペクトル,名詞,一般,*,*,スペクトル,38
16,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
17,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
18,0,分子量,名詞,固有名詞,一般,*,分子量,41
19,0,散乱,名詞,サ変接続,*,*,散乱,36
20,0,法,名詞,接尾,一般,*,法,51
21,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
22,0,法,名詞,接尾,一般,*,法,51
23,0,分光,名詞,サ変接続,*,*,分光,36
24,0,分析,名詞,サ変接続,*,*,分析,36
25,0,スペクトル,名詞,一般,*,*,スペクトル,38
26,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
27,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
28,0,分子量,名詞,固有名詞,一般,*,分子量,41
29,0,散乱,名詞,サ変接続,*,*,散乱,36
30,0,法,名詞,接尾,一般,*,法,51
31,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
32,0,法,名詞,接尾,一般,*,法,51
33,0,分光,名詞,サ変接続,*,*,分光,36
34,0,分析,名詞,サ変接続,*,*,分析,36
35,0,スペクトル,名詞,一般,*,*,スペクトル,38
36,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
37,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
38,0,分子量,名詞,固有名詞,一般,*,分子量,41
39,0,散乱,名詞,サ変接続,*,*,散乱,36
40,0,法,名詞,接尾,一般,*,法,51
41,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
42,0,法,名詞,接尾,一般,*,法,51
43,0,質量分析,名詞,固有名詞,一般,*,質量分析,41
44,0,分光,名詞,サ変接続,*,*,分光,36
45,0,分析,名詞,サ変接続,*,*,分析,36
46,0,スペクトル,名詞,一般,*,*,スペクトル,38
47,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
48,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
49,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
51,0,NMR,名詞,固有名詞,一般,*,NMR,41
53,0,法,名詞,一般,*,*,法,38
0,0,分光,名詞,サ変接続,*,*,分光,36
1,0,分析,名詞,サ変接続,*,*,分析,36
2,0,スペクトル,名詞,一般,*,*,スペクトル,38
3,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
4,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
5,0,分子量,名詞,固有名詞,一般,*,分子量,41
6,0,散乱,名詞,サ変接続,*,*,散乱,36
7,0,法,名詞,接尾,一般,*,法,51
8,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
10,0,NMR,名詞,固有名詞,一般,*,NMR,41
12,0,法,名詞,一般,*,*,法,38
13,0,分光,名詞,サ変接続,*,*,分光,36
14,0,分析,名詞,サ変接続,*,*,分析,36
15,0,スペクトル,名詞,一般,*,*,スペクトル,38
16,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
17,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
18,0,分子量,名詞,固有名詞,一般,*,分子量,41
19,0,散乱,名詞,サ変接続,*,*,散乱,36
20,0,法,名詞,接尾,一般,*,法,51
21,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
22,0,法,名詞,接尾,一般,*,法,51
23,0,分光,名詞,サ変接続,*,*,分光,36
24,0,分析,名詞,サ変接続,*,*,分析,36
25,0,スペクトル,名詞,一般,*,*,スペクトル,38
26,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
27,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
28,0,分子量,名詞,固有名詞,一般,*,分子量,41
29,0,散乱,名詞,サ変接続,*,*,散乱,36
30,0,法,名詞,接尾,一般,*,法,51
31,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
32,0,法,名詞,接尾,一般,*,法,51
33,0,分光,名詞,サ変接続,*,*,分光,36
34,0,分析,名詞,サ変接続,*,*,分析,36
35,0,スペクトル,名詞,一般,*,*,スペクトル,38
36,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
37,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
38,0,分子量,名詞,固有名詞,一般,*,分子量,41
39,0,散乱,名詞,サ変接続,*,*,散乱,36
40,0,法,名詞,接尾,一般,*,法,51
41,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
42,0,法,名詞,接尾,一般,*,法,51
43,0,質量分析,名詞,固有名詞,一般,*,質量分析,41
44,0,分光,名詞,サ変接続,*,*,分光,36
45,0,分析,名詞,サ変接続,*,*,分析,36
46,0,スペクトル,名詞,一般,*,*,スペクトル,38
47,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
48,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
49,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
51,0,NMR,名詞,固有名詞,一般,*,NMR,41
53,0,法,名詞,一般,*,*,法,38
0,0,分光,名詞,サ変接続,*,*,分光,36
1,0,分析,名詞,サ変接続,*,*,分析,36
2,0,スペクトル,名詞,一般,*,*,スペクトル,38
3,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
4,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
5,0,分子量,名詞,固有名詞,一般,*,分子量,41
6,0,散乱,名詞,サ変接続,*,*,散乱,36
7,0,法,名詞,接尾,一般,*,法,51
8,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
10,0,NMR,名詞,固有名詞,一般,*,NMR,41
12,0,法,名詞,一般,*,*,法,38
13,0,分光,名詞,サ変接続,*,*,分光,36
14,0,分析,名詞,サ変接続,*,*,分析,36
15,0,スペクトル,名詞,一般,*,*,スペクトル,38
16,0,赤外分光法,名詞,固有名詞,一般,*,赤外分光法,41
17,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
