Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,到達,名詞,サ変接続,*,*,到達,36
2,0,目標,名詞,一般,*,*,目標,38
6,0,講義,名詞,サ変接続,*,*,講義,36
8,0,履修,名詞,サ変接続,*,*,履修,36
13,0,有機,名詞,一般,*,*,有機,38
14,0,高分子,名詞,一般,*,*,高分子,38
15,0,材料,名詞,一般,*,*,材料,38
17,0,合成,名詞,サ変接続,*,*,合成,36
18,0,化学,名詞,一般,*,*,化学,38
20,0,基礎,名詞,一般,*,*,基礎,38
21,0,知識,名詞,一般,*,*,知識,38
23,0,習得,名詞,サ変接続,*,*,習得,36
27,0,到達,名詞,サ変接続,*,*,到達,36
28,0,目標,名詞,一般,*,*,目標,38
33,0,連鎖的,名詞,一般,*,*,連鎖的,38
34,0,重合反応,名詞,固有名詞,一般,*,重合反応,41
36,0,逐次,副詞,一般,*,*,逐次,34
37,0,的,名詞,接尾,形容動詞語幹,*,的,52
38,0,重合反応,名詞,固有名詞,一般,*,重合反応,41
39,0,それぞれ,名詞,副詞可能,*,*,それぞれ,67
41,0,分子量,名詞,固有名詞,一般,*,分子量,41
44,0,分散,名詞,サ変接続,*,*,分散,36
45,0,度,名詞,接尾,一般,*,度,51
47,0,決定,名詞,サ変接続,*,*,決定,36
49,0,因子,名詞,一般,*,*,因子,38
51,0,理解,名詞,サ変接続,*,*,理解,36
56,0,知識,名詞,一般,*,*,知識,38
58,0,用い,動詞,自立,*,*,用いる,31
60,0,汎用,名詞,一般,*,*,汎用,38
61,0,高分子,名詞,一般,*,*,高分子,38
63,0,合成,名詞,サ変接続,*,*,合成,36
65,0,方法論,名詞,固有名詞,一般,*,方法論,41
67,0,学ぶ,動詞,自立,*,*,学ぶ,31
70,0,目標,名詞,一般,*,*,目標,38
76,0,テーマ,名詞,一般,*,*,テーマ,38
80,0,講義,名詞,サ変接続,*,*,講義,36
84,0,有機合成化学,名詞,固有名詞,一般,*,有機合成化学,41
86,0,知識,名詞,一般,*,*,知識,38
88,0,有機,名詞,一般,*,*,有機,38
89,0,高分子,名詞,一般,*,*,高分子,38
90,0,材料,名詞,一般,*,*,材料,38
92,0,合成,名詞,サ変接続,*,*,合成,36
94,0,応用,名詞,サ変接続,*,*,応用,36
96,0,考え方,名詞,一般,*,*,考え方,38
98,0,理解,名詞,サ変接続,*,*,理解,36
101,0,身,名詞,一般,*,*,身,38
103,0,周り,名詞,一般,*,*,周り,38
105,0,高分子,名詞,一般,*,*,高分子,38
106,0,材料,名詞,一般,*,*,材料,38
108,0,設計,名詞,サ変接続,*,*,設計,36
110,0,ため,名詞,非自立,副詞可能,*,ため,66
112,0,基礎,名詞,一般,*,*,基礎,38
114,0,築く,動詞,自立,*,*,築く,31
117,0,目的,名詞,一般,*,*,目的,38
123,0,到達,名詞,サ変接続,*,*,到達,36
124,0,目標,名詞,一般,*,*,目標,38
128,0,講義,名詞,サ変接続,*,*,講義,36
130,0,履修,名詞,サ変接続,*,*,履修,36
135,0,有機,名詞,一般,*,*,有機,38
136,0,高分子,名詞,一般,*,*,高分子,38
137,0,材料,名詞,一般,*,*,材料,38
139,0,合成,名詞,サ変接続,*,*,合成,36
140,0,化学,名詞,一般,*,*,化学,38
142,0,基礎,名詞,一般,*,*,基礎,38
143,0,知識,名詞,一般,*,*,知識,38
145,0,習得,名詞,サ変接続,*,*,習得,36
149,0,到達,名詞,サ変接続,*,*,到達,36
150,0,目標,名詞,一般,*,*,目標,38
155,0,連鎖的,名詞,一般,*,*,連鎖的,38
156,0,重合反応,名詞,固有名詞,一般,*,重合反応,41
158,0,逐次,副詞,一般,*,*,逐次,34
159,0,的,名詞,接尾,形容動詞語幹,*,的,52
