Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,履修,名詞,サ変接続,*,*,履修,36
9,0,以下,名詞,非自立,副詞可能,*,以下,66
11,0,目標達成,名詞,固有名詞,一般,*,目標達成,41
13,0,目指す,動詞,自立,*,*,目指す,31
18,0,グローバルな,名詞,固有名詞,一般,*,グローバルな,41
19,0,視点,名詞,一般,*,*,視点,38
22,0,エンジニア,名詞,一般,*,*,エンジニア,38
24,0,活躍,名詞,サ変接続,*,*,活躍,36
26,0,ため,名詞,非自立,副詞可能,*,ため,66
28,0,必要,名詞,形容動詞語幹,*,*,必要,40
30,0,スキル,名詞,一般,*,*,スキル,38
32,0,技能,名詞,一般,*,*,技能,38
34,0,理解,名詞,サ変接続,*,*,理解,36
39,0,講義,名詞,サ変接続,*,*,講義,36
41,0,履修,名詞,サ変接続,*,*,履修,36
46,0,以下,名詞,非自立,副詞可能,*,以下,66
48,0,目標達成,名詞,固有名詞,一般,*,目標達成,41
50,0,目指す,動詞,自立,*,*,目指す,31
55,0,グローバルな,名詞,固有名詞,一般,*,グローバルな,41
56,0,視点,名詞,一般,*,*,視点,38
59,0,エンジニア,名詞,一般,*,*,エンジニア,38
61,0,活躍,名詞,サ変接続,*,*,活躍,36
63,0,ため,名詞,非自立,副詞可能,*,ため,66
65,0,必要,名詞,形容動詞語幹,*,*,必要,40
67,0,スキル,名詞,一般,*,*,スキル,38
69,0,技能,名詞,一般,*,*,技能,38
71,0,理解,名詞,サ変接続,*,*,理解,36
76,0,講義,名詞,サ変接続,*,*,講義,36
78,0,履修,名詞,サ変接続,*,*,履修,36
83,0,以下,名詞,非自立,副詞可能,*,以下,66
85,0,目標達成,名詞,固有名詞,一般,*,目標達成,41
87,0,目指す,動詞,自立,*,*,目指す,31
92,0,グローバルな,名詞,固有名詞,一般,*,グローバルな,41
93,0,視点,名詞,一般,*,*,視点,38
96,0,エンジニア,名詞,一般,*,*,エンジニア,38
98,0,活躍,名詞,サ変接続,*,*,活躍,36
100,0,ため,名詞,非自立,副詞可能,*,ため,66
102,0,必要,名詞,形容動詞語幹,*,*,必要,40
104,0,スキル,名詞,一般,*,*,スキル,38
106,0,技能,名詞,一般,*,*,技能,38
108,0,理解,名詞,サ変接続,*,*,理解,36
113,0,講義,名詞,サ変接続,*,*,講義,36
115,0,履修,名詞,サ変接続,*,*,履修,36
120,0,以下,名詞,非自立,副詞可能,*,以下,66
122,0,目標達成,名詞,固有名詞,一般,*,目標達成,41
124,0,目指す,動詞,自立,*,*,目指す,31
129,0,グローバルな,名詞,固有名詞,一般,*,グローバルな,41
130,0,視点,名詞,一般,*,*,視点,38
133,0,エンジニア,名詞,一般,*,*,エンジニア,38
135,0,活躍,名詞,サ変接続,*,*,活躍,36
137,0,ため,名詞,非自立,副詞可能,*,ため,66
139,0,必要,名詞,形容動詞語幹,*,*,必要,40
141,0,スキル,名詞,一般,*,*,スキル,38
