Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
2,0,文法,名詞,一般,*,*,文法,38
4,0,最も,副詞,一般,*,*,最も,34
5,0,基本,名詞,一般,*,*,基本,38
6,0,的,名詞,接尾,形容動詞語幹,*,的,52
8,0,ところ,名詞,非自立,副詞可能,*,ところ,66
10,0,理解,名詞,サ変接続,*,*,理解,36
13,0,重要,名詞,形容動詞語幹,*,*,重要,40
15,0,動詞,名詞,一般,*,*,動詞,38
17,0,現在時制,名詞,固有名詞,一般,*,現在時制,41
19,0,学び,動詞,自立,*,*,学ぶ,31
21,0,基本,名詞,一般,*,*,基本,38
22,0,的,名詞,接尾,形容動詞語幹,*,的,52
24,0,文章,名詞,一般,*,*,文章,38
26,0,作れる,動詞,自立,*,*,作れる,31
31,0,理解,名詞,サ変接続,*,*,理解,36
32,0,できる,動詞,自立,*,*,できる,31
35,0,なる,動詞,自立,*,*,なる,31
37,1,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
39,1,文法,名詞,一般,*,*,文法,38
41,1,最も,副詞,一般,*,*,最も,34
42,1,基本,名詞,一般,*,*,基本,38
43,1,的,名詞,接尾,形容動詞語幹,*,的,52
45,1,ところ,名詞,非自立,副詞可能,*,ところ,66
47,1,理解,名詞,サ変接続,*,*,理解,36
50,1,重要,名詞,形容動詞語幹,*,*,重要,40
52,1,動詞,名詞,一般,*,*,動詞,38
54,1,現在時制,名詞,固有名詞,一般,*,現在時制,41
56,1,学び,動詞,自立,*,*,学ぶ,31
58,1,基本,名詞,一般,*,*,基本,38
59,1,的,名詞,接尾,形容動詞語幹,*,的,52
61,1,文章,名詞,一般,*,*,文章,38
63,1,作れる,動詞,自立,*,*,作れる,31
68,1,理解,名詞,サ変接続,*,*,理解,36
69,1,できる,動詞,自立,*,*,できる,31
72,1,なる,動詞,自立,*,*,なる,31
76,2,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
78,2,慣れる,動詞,自立,*,*,慣れる,31
82,3,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
84,3,基礎,名詞,一般,*,*,基礎,38
85,3,的,名詞,接尾,形容動詞語幹,*,的,52
87,3,文法,名詞,一般,*,*,文法,38
88,3,事項,名詞,一般,*,*,事項,38
90,3,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
92,3,必要,名詞,形容動詞語幹,*,*,必要,40
94,3,語彙,名詞,一般,*,*,語彙,38
96,3,身,名詞,一般,*,*,身,38
98,3,つける,動詞,自立,*,*,つける,31
102,4,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
103,4,圏,名詞,接尾,一般,*,圏,51
105,4,文化,名詞,一般,*,*,文化,38
107,4,人々,名詞,一般,*,*,人々,38
109,4,多様性,名詞,固有名詞,一般,*,多様性,41
112,4,自分,名詞,一般,*,*,自分,38
115,4,イメージ,名詞,サ変接続,*,*,イメージ,36
117,4,つかむ,動詞,自立,*,*,つかむ,31
121,5,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
123,5,慣れる,動詞,自立,*,*,慣れる,31
127,6,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
129,6,基礎,名詞,一般,*,*,基礎,38
130,6,的,名詞,接尾,形容動詞語幹,*,的,52
132,6,文法,名詞,一般,*,*,文法,38
133,6,事項,名詞,一般,*,*,事項,38
135,6,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
137,6,必要,名詞,形容動詞語幹,*,*,必要,40
139,6,語彙,名詞,一般,*,*,語彙,38
141,6,身,名詞,一般,*,*,身,38
143,6,つける,動詞,自立,*,*,つける,31
147,7,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
148,7,圏,名詞,接尾,一般,*,圏,51
150,7,文化,名詞,一般,*,*,文化,38
152,7,人々,名詞,一般,*,*,人々,38
154,7,多様性,名詞,固有名詞,一般,*,多様性,41
157,7,自分,名詞,一般,*,*,自分,38
160,7,イメージ,名詞,サ変接続,*,*,イメージ,36
162,7,つかむ,動詞,自立,*,*,つかむ,31
166,8,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
168,8,慣れる,動詞,自立,*,*,慣れる,31
172,9,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
174,9,基礎,名詞,一般,*,*,基礎,38
175,9,的,名詞,接尾,形容動詞語幹,*,的,52
177,9,文法,名詞,一般,*,*,文法,38
178,9,事項,名詞,一般,*,*,事項,38
180,9,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
182,9,必要,名詞,形容動詞語幹,*,*,必要,40
184,9,語彙,名詞,一般,*,*,語彙,38
186,9,身,名詞,一般,*,*,身,38
188,9,つける,動詞,自立,*,*,つける,31
192,10,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
193,10,圏,名詞,接尾,一般,*,圏,51
195,10,文化,名詞,一般,*,*,文化,38
197,10,人々,名詞,一般,*,*,人々,38
199,10,多様性,名詞,固有名詞,一般,*,多様性,41
202,10,自分,名詞,一般,*,*,自分,38
205,10,イメージ,名詞,サ変接続,*,*,イメージ,36
207,10,つかむ,動詞,自立,*,*,つかむ,31
0,0,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
2,0,文法,名詞,一般,*,*,文法,38
4,0,最も,副詞,一般,*,*,最も,34
5,0,基本,名詞,一般,*,*,基本,38
6,0,的,名詞,接尾,形容動詞語幹,*,的,52
8,0,ところ,名詞,非自立,副詞可能,*,ところ,66
10,0,理解,名詞,サ変接続,*,*,理解,36
13,0,重要,名詞,形容動詞語幹,*,*,重要,40
15,0,動詞,名詞,一般,*,*,動詞,38
17,0,現在時制,名詞,固有名詞,一般,*,現在時制,41
19,0,学び,動詞,自立,*,*,学ぶ,31
21,0,基本,名詞,一般,*,*,基本,38
22,0,的,名詞,接尾,形容動詞語幹,*,的,52
24,0,文章,名詞,一般,*,*,文章,38
26,0,作れる,動詞,自立,*,*,作れる,31
31,0,理解,名詞,サ変接続,*,*,理解,36
32,0,できる,動詞,自立,*,*,できる,31
35,0,なる,動詞,自立,*,*,なる,31
37,1,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
39,1,文法,名詞,一般,*,*,文法,38
41,1,最も,副詞,一般,*,*,最も,34
42,1,基本,名詞,一般,*,*,基本,38
43,1,的,名詞,接尾,形容動詞語幹,*,的,52
45,1,ところ,名詞,非自立,副詞可能,*,ところ,66
47,1,理解,名詞,サ変接続,*,*,理解,36
50,1,重要,名詞,形容動詞語幹,*,*,重要,40
52,1,動詞,名詞,一般,*,*,動詞,38
54,1,現在時制,名詞,固有名詞,一般,*,現在時制,41
56,1,学び,動詞,自立,*,*,学ぶ,31
58,1,基本,名詞,一般,*,*,基本,38
59,1,的,名詞,接尾,形容動詞語幹,*,的,52
61,1,文章,名詞,一般,*,*,文章,38
63,1,作れる,動詞,自立,*,*,作れる,31
68,1,理解,名詞,サ変接続,*,*,理解,36
69,1,できる,動詞,自立,*,*,できる,31
72,1,なる,動詞,自立,*,*,なる,31
76,2,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
78,2,慣れる,動詞,自立,*,*,慣れる,31
82,3,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
84,3,基礎,名詞,一般,*,*,基礎,38
85,3,的,名詞,接尾,形容動詞語幹,*,的,52
87,3,文法,名詞,一般,*,*,文法,38
88,3,事項,名詞,一般,*,*,事項,38
90,3,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
92,3,必要,名詞,形容動詞語幹,*,*,必要,40
94,3,語彙,名詞,一般,*,*,語彙,38
96,3,身,名詞,一般,*,*,身,38
98,3,つける,動詞,自立,*,*,つける,31
102,4,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
103,4,圏,名詞,接尾,一般,*,圏,51
105,4,文化,名詞,一般,*,*,文化,38
107,4,人々,名詞,一般,*,*,人々,38
109,4,多様性,名詞,固有名詞,一般,*,多様性,41
112,4,自分,名詞,一般,*,*,自分,38
115,4,イメージ,名詞,サ変接続,*,*,イメージ,36
117,4,つかむ,動詞,自立,*,*,つかむ,31
121,5,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
123,5,慣れる,動詞,自立,*,*,慣れる,31
127,6,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
129,6,基礎,名詞,一般,*,*,基礎,38
130,6,的,名詞,接尾,形容動詞語幹,*,的,52
132,6,文法,名詞,一般,*,*,文法,38
133,6,事項,名詞,一般,*,*,事項,38
135,6,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
137,6,必要,名詞,形容動詞語幹,*,*,必要,40
139,6,語彙,名詞,一般,*,*,語彙,38
141,6,身,名詞,一般,*,*,身,38
143,6,つける,動詞,自立,*,*,つける,31
147,7,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
148,7,圏,名詞,接尾,一般,*,圏,51
150,7,文化,名詞,一般,*,*,文化,38
152,7,人々,名詞,一般,*,*,人々,38
154,7,多様性,名詞,固有名詞,一般,*,多様性,41
157,7,自分,名詞,一般,*,*,自分,38
160,7,イメージ,名詞,サ変接続,*,*,イメージ,36
162,7,つかむ,動詞,自立,*,*,つかむ,31
166,8,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
168,8,慣れる,動詞,自立,*,*,慣れる,31
172,9,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
174,9,基礎,名詞,一般,*,*,基礎,38
175,9,的,名詞,接尾,形容動詞語幹,*,的,52
177,9,文法,名詞,一般,*,*,文法,38
178,9,事項,名詞,一般,*,*,事項,38
180,9,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
182,9,必要,名詞,形容動詞語幹,*,*,必要,40
184,9,語彙,名詞,一般,*,*,語彙,38
186,9,身,名詞,一般,*,*,身,38
188,9,つける,動詞,自立,*,*,つける,31
192,10,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
193,10,圏,名詞,接尾,一般,*,圏,51
195,10,文化,名詞,一般,*,*,文化,38
197,10,人々,名詞,一般,*,*,人々,38
199,10,多様性,名詞,固有名詞,一般,*,多様性,41
202,10,自分,名詞,一般,*,*,自分,38
205,10,イメージ,名詞,サ変接続,*,*,イメージ,36
207,10,つかむ,動詞,自立,*,*,つかむ,31
0,0,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
2,0,文法,名詞,一般,*,*,文法,38
4,0,最も,副詞,一般,*,*,最も,34
5,0,基本,名詞,一般,*,*,基本,38
6,0,的,名詞,接尾,形容動詞語幹,*,的,52
8,0,ところ,名詞,非自立,副詞可能,*,ところ,66
10,0,理解,名詞,サ変接続,*,*,理解,36
13,0,重要,名詞,形容動詞語幹,*,*,重要,40
15,0,動詞,名詞,一般,*,*,動詞,38
17,0,現在時制,名詞,固有名詞,一般,*,現在時制,41
19,0,学び,動詞,自立,*,*,学ぶ,31
21,0,基本,名詞,一般,*,*,基本,38
22,0,的,名詞,接尾,形容動詞語幹,*,的,52
24,0,文章,名詞,一般,*,*,文章,38
26,0,作れる,動詞,自立,*,*,作れる,31
31,0,理解,名詞,サ変接続,*,*,理解,36
32,0,できる,動詞,自立,*,*,できる,31
35,0,なる,動詞,自立,*,*,なる,31
37,1,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
39,1,文法,名詞,一般,*,*,文法,38
41,1,最も,副詞,一般,*,*,最も,34
42,1,基本,名詞,一般,*,*,基本,38
43,1,的,名詞,接尾,形容動詞語幹,*,的,52
45,1,ところ,名詞,非自立,副詞可能,*,ところ,66
47,1,理解,名詞,サ変接続,*,*,理解,36
50,1,重要,名詞,形容動詞語幹,*,*,重要,40
52,1,動詞,名詞,一般,*,*,動詞,38
54,1,現在時制,名詞,固有名詞,一般,*,現在時制,41
56,1,学び,動詞,自立,*,*,学ぶ,31
58,1,基本,名詞,一般,*,*,基本,38
59,1,的,名詞,接尾,形容動詞語幹,*,的,52
61,1,文章,名詞,一般,*,*,文章,38
63,1,作れる,動詞,自立,*,*,作れる,31
68,1,理解,名詞,サ変接続,*,*,理解,36
69,1,できる,動詞,自立,*,*,できる,31
72,1,なる,動詞,自立,*,*,なる,31
76,2,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
78,2,慣れる,動詞,自立,*,*,慣れる,31
82,3,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
84,3,基礎,名詞,一般,*,*,基礎,38
85,3,的,名詞,接尾,形容動詞語幹,*,的,52
87,3,文法,名詞,一般,*,*,文法,38
88,3,事項,名詞,一般,*,*,事項,38
90,3,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
92,3,必要,名詞,形容動詞語幹,*,*,必要,40
94,3,語彙,名詞,一般,*,*,語彙,38
96,3,身,名詞,一般,*,*,身,38
98,3,つける,動詞,自立,*,*,つける,31
102,4,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
103,4,圏,名詞,接尾,一般,*,圏,51
105,4,文化,名詞,一般,*,*,文化,38
107,4,人々,名詞,一般,*,*,人々,38
109,4,多様性,名詞,固有名詞,一般,*,多様性,41
112,4,自分,名詞,一般,*,*,自分,38
115,4,イメージ,名詞,サ変接続,*,*,イメージ,36
117,4,つかむ,動詞,自立,*,*,つかむ,31
121,5,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
123,5,慣れる,動詞,自立,*,*,慣れる,31
127,6,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
129,6,基礎,名詞,一般,*,*,基礎,38
130,6,的,名詞,接尾,形容動詞語幹,*,的,52
132,6,文法,名詞,一般,*,*,文法,38
133,6,事項,名詞,一般,*,*,事項,38
135,6,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
137,6,必要,名詞,形容動詞語幹,*,*,必要,40
139,6,語彙,名詞,一般,*,*,語彙,38
141,6,身,名詞,一般,*,*,身,38
143,6,つける,動詞,自立,*,*,つける,31
147,7,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
148,7,圏,名詞,接尾,一般,*,圏,51
150,7,文化,名詞,一般,*,*,文化,38
152,7,人々,名詞,一般,*,*,人々,38
154,7,多様性,名詞,固有名詞,一般,*,多様性,41
157,7,自分,名詞,一般,*,*,自分,38
160,7,イメージ,名詞,サ変接続,*,*,イメージ,36
162,7,つかむ,動詞,自立,*,*,つかむ,31
166,8,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
168,8,慣れる,動詞,自立,*,*,慣れる,31
172,9,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
174,9,基礎,名詞,一般,*,*,基礎,38
175,9,的,名詞,接尾,形容動詞語幹,*,的,52
177,9,文法,名詞,一般,*,*,文法,38
178,9,事項,名詞,一般,*,*,事項,38
180,9,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
