Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
5,0,以下,名詞,非自立,副詞可能,*,以下,66
13,0,到達,名詞,サ変接続,*,*,到達,36
14,0,目標,名詞,一般,*,*,目標,38
21,0,周期律表,名詞,固有名詞,一般,*,周期律表,41
23,0,基づき,動詞,自立,*,*,基づく,31
25,0,元素,名詞,一般,*,*,元素,38
27,0,イオン,名詞,一般,*,*,イオン,38
29,0,性質,名詞,一般,*,*,性質,38
31,0,理解,名詞,サ変接続,*,*,理解,36
34,0,説明,名詞,サ変接続,*,*,説明,36
35,0,できる,動詞,自立,*,*,できる,31
38,0,なる,動詞,自立,*,*,なる,31
43,0,化学種,名詞,固有名詞,一般,*,化学種,41
44,0,同士,名詞,一般,*,*,同士,38
46,0,反応,名詞,サ変接続,*,*,反応,36
47,0,性,名詞,接尾,一般,*,性,51
49,0,化合物,名詞,固有名詞,一般,*,化合物,41
51,0,安定性,名詞,固有名詞,一般,*,安定性,41
53,0,説明,名詞,サ変接続,*,*,説明,36
54,0,できる,動詞,自立,*,*,できる,31
57,0,なる,動詞,自立,*,*,なる,31
62,0,様々,名詞,形容動詞語幹,*,*,様々,40
64,0,物質,名詞,一般,*,*,物質,38
66,0,構成,名詞,サ変接続,*,*,構成,36
68,0,化学結合,名詞,固有名詞,一般,*,化学結合,41
70,0,説明,名詞,サ変接続,*,*,説明,36
71,0,できる,動詞,自立,*,*,できる,31
74,0,なる,動詞,自立,*,*,なる,31
77,0,講義,名詞,サ変接続,*,*,講義,36
81,0,以下,名詞,非自立,副詞可能,*,以下,66
89,0,到達,名詞,サ変接続,*,*,到達,36
90,0,目標,名詞,一般,*,*,目標,38
97,0,周期律表,名詞,固有名詞,一般,*,周期律表,41
99,0,基づき,動詞,自立,*,*,基づく,31
101,0,元素,名詞,一般,*,*,元素,38
103,0,イオン,名詞,一般,*,*,イオン,38
105,0,性質,名詞,一般,*,*,性質,38
107,0,理解,名詞,サ変接続,*,*,理解,36
110,0,説明,名詞,サ変接続,*,*,説明,36
