Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,フーリエ級数,名詞,固有名詞,一般,*,フーリエ級数,41
2,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
4,0,サンプリング,名詞,サ変接続,*,*,サンプリング,36
5,0,定理,名詞,一般,*,*,定理,38
7,0,離散フーリエ変換,名詞,固有名詞,一般,*,離散フーリエ変換,41
9,0,高速フーリエ変換,名詞,固有名詞,一般,*,高速フーリエ変換,41
11,0,周波数,名詞,一般,*,*,周波数,38
12,0,フィルタ,名詞,一般,*,*,フィルタ,38
14,0,理解,名詞,サ変接続,*,*,理解,36
17,0,使う,動詞,自立,*,*,使う,31
20,0,できる,動詞,自立,*,*,できる,31
23,0,なる,動詞,自立,*,*,なる,31
27,0,フーリエ級数,名詞,固有名詞,一般,*,フーリエ級数,41
29,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
31,0,理解,名詞,サ変接続,*,*,理解,36
34,0,導出,名詞,サ変接続,*,*,導出,36
38,0,できる,動詞,自立,*,*,できる,31
42,0,機械工学,名詞,固有名詞,一般,*,機械工学,41
44,0,電気工学,名詞,固有名詞,一般,*,電気工学,41
46,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
47,0,工学,名詞,一般,*,*,工学,38
50,0,出,動詞,自立,*,*,出る,31
53,0,偏微分方程式,名詞,固有名詞,一般,*,偏微分方程式,41
55,0,解く,動詞,自立,*,*,解く,31
58,0,できる,動詞,自立,*,*,できる,31
62,0,サンプリング,名詞,サ変接続,*,*,サンプリング,36
63,0,定理,名詞,一般,*,*,定理,38
65,0,離散フーリエ変換,名詞,固有名詞,一般,*,離散フーリエ変換,41
67,0,高速フーリエ変換,名詞,固有名詞,一般,*,高速フーリエ変換,41
69,0,周波数,名詞,一般,*,*,周波数,38
70,0,フィルタ,名詞,一般,*,*,フィルタ,38
72,0,理解,名詞,サ変接続,*,*,理解,36
75,0,使う,動詞,自立,*,*,使う,31
78,0,できる,動詞,自立,*,*,できる,31
81,0,なる,動詞,自立,*,*,なる,31
85,0,パーシバル,名詞,固有名詞,一般,*,パーシバル,41
87,0,等式,名詞,一般,*,*,等式,38
89,0,利用,名詞,サ変接続,*,*,利用,36
92,0,様々,名詞,形容動詞語幹,*,*,様々,40
94,0,積分,名詞,サ変接続,*,*,積分,36
96,0,解く,動詞,自立,*,*,解く,31
99,0,できる,動詞,自立,*,*,できる,31
102,0,科目,名詞,一般,*,*,科目,38
105,0,学修,名詞,サ変接続,*,*,学修,36
106,0,目標,名詞,一般,*,*,目標,38
