Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,科目,名詞,一般,*,*,科目,38
4,0,履修,名詞,サ変接続,*,*,履修,36
11,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
12,0,系,名詞,接尾,一般,*,系,51
14,0,基盤,名詞,一般,*,*,基盤,38
15,0,領域,名詞,一般,*,*,領域,38
17,0,通信,名詞,サ変接続,*,*,通信,36
19,0,信号処理,名詞,固有名詞,一般,*,信号処理,41
21,0,回路,名詞,一般,*,*,回路,38
24,0,技術,名詞,一般,*,*,技術,38
27,0,基本,名詞,一般,*,*,基本,38
28,0,的,名詞,接尾,形容動詞語幹,*,的,52
30,0,アイディア,名詞,一般,*,*,アイディア,38
32,0,理解,名詞,サ変接続,*,*,理解,36
33,0,できる,動詞,自立,*,*,できる,31
36,0,なる,動詞,自立,*,*,なる,31
40,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
41,0,系,名詞,接尾,一般,*,系,51
43,0,専門,名詞,一般,*,*,専門,38
44,0,科目,名詞,一般,*,*,科目,38
45,0,群,名詞,接尾,一般,*,群,51
47,0,学ぶ,動詞,自立,*,*,学ぶ,31
48,0,多く,名詞,副詞可能,*,*,多く,67
50,0,知見,名詞,一般,*,*,知見,38
52,0,相互,名詞,一般,*,*,相互,38
54,0,関連付け,動詞,自立,*,*,関連付ける,31
56,0,理解,名詞,サ変接続,*,*,理解,36
57,0,できる,動詞,自立,*,*,できる,31
60,0,なる,動詞,自立,*,*,なる,31
64,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
65,0,系,名詞,接尾,一般,*,系,51
67,0,専門,名詞,一般,*,*,専門,38
68,0,分野,名詞,一般,*,*,分野,38
71,0,理解,名詞,サ変接続,*,*,理解,36
73,0,深め,動詞,自立,*,*,深める,31
76,0,ため,名詞,非自立,副詞可能,*,ため,66
78,0,道筋,名詞,一般,*,*,道筋,38
80,0,描ける,動詞,自立,*,*,描ける,31
83,0,なる,動詞,自立,*,*,なる,31
87,0,科目,名詞,一般,*,*,科目,38
89,0,履修,名詞,サ変接続,*,*,履修,36
96,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
97,0,系,名詞,接尾,一般,*,系,51
99,0,基盤,名詞,一般,*,*,基盤,38
100,0,領域,名詞,一般,*,*,領域,38
102,0,通信,名詞,サ変接続,*,*,通信,36
104,0,信号処理,名詞,固有名詞,一般,*,信号処理,41
106,0,回路,名詞,一般,*,*,回路,38
109,0,技術,名詞,一般,*,*,技術,38
112,0,基本,名詞,一般,*,*,基本,38
113,0,的,名詞,接尾,形容動詞語幹,*,的,52
115,0,アイディア,名詞,一般,*,*,アイディア,38
117,0,理解,名詞,サ変接続,*,*,理解,36
118,0,できる,動詞,自立,*,*,できる,31
121,0,なる,動詞,自立,*,*,なる,31
125,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
126,0,系,名詞,接尾,一般,*,系,51
128,0,専門,名詞,一般,*,*,専門,38
129,0,科目,名詞,一般,*,*,科目,38
130,0,群,名詞,接尾,一般,*,群,51
132,0,学ぶ,動詞,自立,*,*,学ぶ,31
133,0,多く,名詞,副詞可能,*,*,多く,67
135,0,知見,名詞,一般,*,*,知見,38
137,0,相互,名詞,一般,*,*,相互,38
139,0,関連付け,動詞,自立,*,*,関連付ける,31
141,0,理解,名詞,サ変接続,*,*,理解,36
142,0,できる,動詞,自立,*,*,できる,31
145,0,なる,動詞,自立,*,*,なる,31
149,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
150,0,系,名詞,接尾,一般,*,系,51
152,0,専門,名詞,一般,*,*,専門,38
153,0,分野,名詞,一般,*,*,分野,38
156,0,理解,名詞,サ変接続,*,*,理解,36
158,0,深め,動詞,自立,*,*,深める,31
161,0,ため,名詞,非自立,副詞可能,*,ため,66
163,0,道筋,名詞,一般,*,*,道筋,38
165,0,描ける,動詞,自立,*,*,描ける,31
168,0,なる,動詞,自立,*,*,なる,31
172,0,科目,名詞,一般,*,*,科目,38
174,0,履修,名詞,サ変接続,*,*,履修,36
181,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
182,0,系,名詞,接尾,一般,*,系,51
184,0,基盤,名詞,一般,*,*,基盤,38
185,0,領域,名詞,一般,*,*,領域,38
187,0,通信,名詞,サ変接続,*,*,通信,36
189,0,信号処理,名詞,固有名詞,一般,*,信号処理,41
191,0,回路,名詞,一般,*,*,回路,38
194,0,技術,名詞,一般,*,*,技術,38
197,0,基本,名詞,一般,*,*,基本,38
198,0,的,名詞,接尾,形容動詞語幹,*,的,52
200,0,アイディア,名詞,一般,*,*,アイディア,38
202,0,理解,名詞,サ変接続,*,*,理解,36
203,0,できる,動詞,自立,*,*,できる,31
206,0,なる,動詞,自立,*,*,なる,31
210,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
211,0,系,名詞,接尾,一般,*,系,51
213,0,専門,名詞,一般,*,*,専門,38
214,0,科目,名詞,一般,*,*,科目,38
215,0,群,名詞,接尾,一般,*,群,51
217,0,学ぶ,動詞,自立,*,*,学ぶ,31
218,0,多く,名詞,副詞可能,*,*,多く,67
220,0,知見,名詞,一般,*,*,知見,38
222,0,相互,名詞,一般,*,*,相互,38
224,0,関連付け,動詞,自立,*,*,関連付ける,31
226,0,理解,名詞,サ変接続,*,*,理解,36
227,0,できる,動詞,自立,*,*,できる,31
230,0,なる,動詞,自立,*,*,なる,31
234,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
235,0,系,名詞,接尾,一般,*,系,51
237,0,専門,名詞,一般,*,*,専門,38
238,0,分野,名詞,一般,*,*,分野,38
241,0,理解,名詞,サ変接続,*,*,理解,36
243,0,深め,動詞,自立,*,*,深める,31
246,0,ため,名詞,非自立,副詞可能,*,ため,66
248,0,道筋,名詞,一般,*,*,道筋,38
250,0,描ける,動詞,自立,*,*,描ける,31
253,0,なる,動詞,自立,*,*,なる,31
257,0,科目,名詞,一般,*,*,科目,38
259,0,履修,名詞,サ変接続,*,*,履修,36
266,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
267,0,系,名詞,接尾,一般,*,系,51
269,0,基盤,名詞,一般,*,*,基盤,38
270,0,領域,名詞,一般,*,*,領域,38
272,0,通信,名詞,サ変接続,*,*,通信,36
274,0,信号処理,名詞,固有名詞,一般,*,信号処理,41
276,0,回路,名詞,一般,*,*,回路,38
279,0,技術,名詞,一般,*,*,技術,38
282,0,基本,名詞,一般,*,*,基本,38
283,0,的,名詞,接尾,形容動詞語幹,*,的,52
