Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,エネルギー,名詞,一般,*,*,エネルギー,38
17,0,代謝,名詞,サ変接続,*,*,代謝,36
20,0,細胞,名詞,一般,*,*,細胞,38
22,0,グルコース,名詞,固有名詞,一般,*,Glucose,41
24,0,脂肪酸,名詞,一般,*,*,脂肪酸,38
26,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
28,0,分解,名詞,サ変接続,*,*,分解,36
37,0,ATP,名詞,固有名詞,人名,一般,ATP,42
39,0,合成,名詞,サ変接続,*,*,合成,36
44,0,説明,名詞,サ変接続,*,*,説明,36
45,0,できる,動詞,自立,*,*,できる,31
49,0,細胞,名詞,一般,*,*,細胞,38
51,0,動物,名詞,一般,*,*,動物,38
52,0,個体,名詞,一般,*,*,個体,38
55,0,おか,動詞,自立,*,*,おく,31
58,0,状況,名詞,一般,*,*,状況,38
60,0,応じ,動詞,自立,*,*,応じる,31
65,0,エネルギー,名詞,一般,*,*,エネルギー,38
66,0,代謝,名詞,サ変接続,*,*,代謝,36
68,0,レベル,名詞,一般,*,*,レベル,38
70,0,調節,名詞,サ変接続,*,*,調節,36
77,0,説明,名詞,サ変接続,*,*,説明,36
78,0,できる,動詞,自立,*,*,できる,31
82,0,生体,名詞,一般,*,*,生体,38
84,0,恒常性,名詞,固有名詞,一般,*,恒常性,41
85,0,維持,名詞,サ変接続,*,*,維持,36
87,0,ホルモン,名詞,一般,*,*,ホルモン,38
89,0,代謝,名詞,サ変接続,*,*,代謝,36
90,0,産物,名詞,一般,*,*,産物,38
92,0,役割,名詞,一般,*,*,役割,38
94,0,説明,名詞,サ変接続,*,*,説明,36
95,0,できる,動詞,自立,*,*,できる,31
98,0,講義,名詞,サ変接続,*,*,講義,36
100,0,履修,名詞,サ変接続,*,*,履修,36
104,0,次,名詞,一般,*,*,次,38
106,0,能力,名詞,一般,*,*,能力,38
108,0,修得,名詞,サ変接続,*,*,修得,36
113,0,エネルギー,名詞,一般,*,*,エネルギー,38
114,0,代謝,名詞,サ変接続,*,*,代謝,36
117,0,細胞,名詞,一般,*,*,細胞,38
119,0,グルコース,名詞,固有名詞,一般,*,Glucose,41
121,0,脂肪酸,名詞,一般,*,*,脂肪酸,38
123,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
125,0,分解,名詞,サ変接続,*,*,分解,36
134,0,ATP,名詞,固有名詞,人名,一般,ATP,42
136,0,合成,名詞,サ変接続,*,*,合成,36
141,0,説明,名詞,サ変接続,*,*,説明,36
142,0,できる,動詞,自立,*,*,できる,31
146,0,細胞,名詞,一般,*,*,細胞,38
148,0,動物,名詞,一般,*,*,動物,38
149,0,個体,名詞,一般,*,*,個体,38
152,0,おか,動詞,自立,*,*,おく,31
155,0,状況,名詞,一般,*,*,状況,38
157,0,応じ,動詞,自立,*,*,応じる,31
162,0,エネルギー,名詞,一般,*,*,エネルギー,38
163,0,代謝,名詞,サ変接続,*,*,代謝,36
165,0,レベル,名詞,一般,*,*,レベル,38
167,0,調節,名詞,サ変接続,*,*,調節,36
174,0,説明,名詞,サ変接続,*,*,説明,36
175,0,できる,動詞,自立,*,*,できる,31
179,0,生体,名詞,一般,*,*,生体,38
181,0,恒常性,名詞,固有名詞,一般,*,恒常性,41
182,0,維持,名詞,サ変接続,*,*,維持,36
184,0,ホルモン,名詞,一般,*,*,ホルモン,38
186,0,代謝,名詞,サ変接続,*,*,代謝,36
187,0,産物,名詞,一般,*,*,産物,38
189,0,役割,名詞,一般,*,*,役割,38
191,0,説明,名詞,サ変接続,*,*,説明,36
192,0,できる,動詞,自立,*,*,できる,31
195,0,講義,名詞,サ変接続,*,*,講義,36
197,0,履修,名詞,サ変接続,*,*,履修,36
201,0,次,名詞,一般,*,*,次,38
203,0,能力,名詞,一般,*,*,能力,38
205,0,修得,名詞,サ変接続,*,*,修得,36
210,0,エネルギー,名詞,一般,*,*,エネルギー,38
211,0,代謝,名詞,サ変接続,*,*,代謝,36
214,0,細胞,名詞,一般,*,*,細胞,38
216,0,グルコース,名詞,固有名詞,一般,*,Glucose,41
218,0,脂肪酸,名詞,一般,*,*,脂肪酸,38
220,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
222,0,分解,名詞,サ変接続,*,*,分解,36
231,0,ATP,名詞,固有名詞,人名,一般,ATP,42
233,0,合成,名詞,サ変接続,*,*,合成,36
238,0,説明,名詞,サ変接続,*,*,説明,36
239,0,できる,動詞,自立,*,*,できる,31
243,0,細胞,名詞,一般,*,*,細胞,38
245,0,動物,名詞,一般,*,*,動物,38
246,0,個体,名詞,一般,*,*,個体,38
249,0,おか,動詞,自立,*,*,おく,31
252,0,状況,名詞,一般,*,*,状況,38
254,0,応じ,動詞,自立,*,*,応じる,31
259,0,エネルギー,名詞,一般,*,*,エネルギー,38
260,0,代謝,名詞,サ変接続,*,*,代謝,36
262,0,レベル,名詞,一般,*,*,レベル,38
264,0,調節,名詞,サ変接続,*,*,調節,36
271,0,説明,名詞,サ変接続,*,*,説明,36
272,0,できる,動詞,自立,*,*,できる,31
276,0,生体,名詞,一般,*,*,生体,38
278,0,恒常性,名詞,固有名詞,一般,*,恒常性,41
279,0,維持,名詞,サ変接続,*,*,維持,36
281,0,ホルモン,名詞,一般,*,*,ホルモン,38
283,0,代謝,名詞,サ変接続,*,*,代謝,36
284,0,産物,名詞,一般,*,*,産物,38
286,0,役割,名詞,一般,*,*,役割,38
288,0,説明,名詞,サ変接続,*,*,説明,36
289,0,できる,動詞,自立,*,*,できる,31
292,0,講義,名詞,サ変接続,*,*,講義,36
294,0,履修,名詞,サ変接続,*,*,履修,36
298,0,次,名詞,一般,*,*,次,38
300,0,能力,名詞,一般,*,*,能力,38
302,0,修得,名詞,サ変接続,*,*,修得,36
307,0,エネルギー,名詞,一般,*,*,エネルギー,38
308,0,代謝,名詞,サ変接続,*,*,代謝,36
311,0,細胞,名詞,一般,*,*,細胞,38
313,0,グルコース,名詞,固有名詞,一般,*,Glucose,41
315,0,脂肪酸,名詞,一般,*,*,脂肪酸,38
317,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
319,0,分解,名詞,サ変接続,*,*,分解,36
328,0,ATP,名詞,固有名詞,人名,一般,ATP,42
330,0,合成,名詞,サ変接続,*,*,合成,36
335,0,説明,名詞,サ変接続,*,*,説明,36
336,0,できる,動詞,自立,*,*,できる,31
340,0,細胞,名詞,一般,*,*,細胞,38
342,0,動物,名詞,一般,*,*,動物,38
343,0,個体,名詞,一般,*,*,個体,38
346,0,おか,動詞,自立,*,*,おく,31
349,0,状況,名詞,一般,*,*,状況,38
351,0,応じ,動詞,自立,*,*,応じる,31
356,0,エネルギー,名詞,一般,*,*,エネルギー,38
357,0,代謝,名詞,サ変接続,*,*,代謝,36
359,0,レベル,名詞,一般,*,*,レベル,38
361,0,調節,名詞,サ変接続,*,*,調節,36
368,0,説明,名詞,サ変接続,*,*,説明,36
369,0,できる,動詞,自立,*,*,できる,31
373,0,生体,名詞,一般,*,*,生体,38
375,0,恒常性,名詞,固有名詞,一般,*,恒常性,41
376,0,維持,名詞,サ変接続,*,*,維持,36
378,0,ホルモン,名詞,一般,*,*,ホルモン,38
380,0,代謝,名詞,サ変接続,*,*,代謝,36
381,0,産物,名詞,一般,*,*,産物,38
383,0,役割,名詞,一般,*,*,役割,38
385,0,説明,名詞,サ変接続,*,*,説明,36
386,0,できる,動詞,自立,*,*,できる,31
389,0,講義,名詞,サ変接続,*,*,講義,36
391,0,履修,名詞,サ変接続,*,*,履修,36
395,0,次,名詞,一般,*,*,次,38
397,0,能力,名詞,一般,*,*,能力,38
399,0,修得,名詞,サ変接続,*,*,修得,36
404,0,エネルギー,名詞,一般,*,*,エネルギー,38
405,0,代謝,名詞,サ変接続,*,*,代謝,36
408,0,細胞,名詞,一般,*,*,細胞,38
410,0,グルコース,名詞,固有名詞,一般,*,Glucose,41
412,0,脂肪酸,名詞,一般,*,*,脂肪酸,38
414,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
416,0,分解,名詞,サ変接続,*,*,分解,36
425,0,ATP,名詞,固有名詞,人名,一般,ATP,42
427,0,合成,名詞,サ変接続,*,*,合成,36
432,0,説明,名詞,サ変接続,*,*,説明,36
433,0,できる,動詞,自立,*,*,できる,31
437,0,細胞,名詞,一般,*,*,細胞,38
439,0,動物,名詞,一般,*,*,動物,38
440,0,個体,名詞,一般,*,*,個体,38
443,0,おか,動詞,自立,*,*,おく,31
446,0,状況,名詞,一般,*,*,状況,38
448,0,応じ,動詞,自立,*,*,応じる,31
453,0,エネルギー,名詞,一般,*,*,エネルギー,38
454,0,代謝,名詞,サ変接続,*,*,代謝,36
456,0,レベル,名詞,一般,*,*,レベル,38
458,0,調節,名詞,サ変接続,*,*,調節,36
465,0,説明,名詞,サ変接続,*,*,説明,36
466,0,できる,動詞,自立,*,*,できる,31
470,0,生体,名詞,一般,*,*,生体,38
472,0,恒常性,名詞,固有名詞,一般,*,恒常性,41
473,0,維持,名詞,サ変接続,*,*,維持,36
475,0,ホルモン,名詞,一般,*,*,ホルモン,38
477,0,代謝,名詞,サ変接続,*,*,代謝,36
478,0,産物,名詞,一般,*,*,産物,38
480,0,役割,名詞,一般,*,*,役割,38
482,0,説明,名詞,サ変接続,*,*,説明,36
483,0,できる,動詞,自立,*,*,できる,31
0,0,代謝,名詞,サ変接続,*,*,代謝,36
1,0,エネルギー,名詞,一般,*,*,エネルギー,38
2,0,代謝,名詞,サ変接続,*,*,代謝,36
3,0,糖,名詞,接尾,一般,*,糖,51
4,0,代謝,名詞,サ変接続,*,*,代謝,36
5,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
6,0,代謝,名詞,サ変接続,*,*,代謝,36
7,0,ヌクレオチド,名詞,固有名詞,一般,*,ヌクレオチド,41
8,0,代謝,名詞,サ変接続,*,*,代謝,36
9,0,脂質,名詞,一般,*,*,脂質,38
10,0,代謝,名詞,サ変接続,*,*,代謝,36
11,0,恒常性,名詞,固有名詞,一般,*,恒常性,41
12,0,維持,名詞,サ変接続,*,*,維持,36
13,0,ホルモン,名詞,一般,*,*,ホルモン,38
14,0,代謝,名詞,サ変接続,*,*,代謝,36
15,0,エネルギー,名詞,一般,*,*,エネルギー,38
16,0,代謝,名詞,サ変接続,*,*,代謝,36
17,0,糖,名詞,接尾,一般,*,糖,51
18,0,代謝,名詞,サ変接続,*,*,代謝,36
19,0,恒常性,名詞,固有名詞,一般,*,恒常性,41
20,0,維持,名詞,サ変接続,*,*,維持,36
21,0,ホルモン,名詞,一般,*,*,ホルモン,38
22,0,代謝,名詞,サ変接続,*,*,代謝,36
23,0,エネルギー,名詞,一般,*,*,エネルギー,38
24,0,代謝,名詞,サ変接続,*,*,代謝,36
25,0,糖,名詞,接尾,一般,*,糖,51
26,0,代謝,名詞,サ変接続,*,*,代謝,36
27,0,恒常性,名詞,固有名詞,一般,*,恒常性,41
28,0,維持,名詞,サ変接続,*,*,維持,36
29,0,ホルモン,名詞,一般,*,*,ホルモン,38
30,0,代謝,名詞,サ変接続,*,*,代謝,36
31,0,エネルギー,名詞,一般,*,*,エネルギー,38
32,0,代謝,名詞,サ変接続,*,*,代謝,36
33,0,糖,名詞,接尾,一般,*,糖,51
34,0,代謝,名詞,サ変接続,*,*,代謝,36
35,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
36,0,代謝,名詞,サ変接続,*,*,代謝,36
37,0,ヌクレオチド,名詞,固有名詞,一般,*,ヌクレオチド,41
38,0,代謝,名詞,サ変接続,*,*,代謝,36
39,0,脂質,名詞,一般,*,*,脂質,38
40,0,代謝,名詞,サ変接続,*,*,代謝,36
41,0,恒常性,名詞,固有名詞,一般,*,恒常性,41
42,0,維持,名詞,サ変接続,*,*,維持,36
43,0,ホルモン,名詞,一般,*,*,ホルモン,38
44,0,代謝,名詞,サ変接続,*,*,代謝,36
45,0,エネルギー,名詞,一般,*,*,エネルギー,38
46,0,代謝,名詞,サ変接続,*,*,代謝,36
47,0,糖,名詞,接尾,一般,*,糖,51
48,0,代謝,名詞,サ変接続,*,*,代謝,36
49,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
50,0,代謝,名詞,サ変接続,*,*,代謝,36
