Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,応力,名詞,一般,*,*,応力,38
18,0,ひずみ,動詞,自立,*,*,ひずむ,31
24,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
26,0,扱う,動詞,自立,*,*,扱う,31
27,0,力学,名詞,一般,*,*,力学,38
29,0,概念,名詞,一般,*,*,概念,38
31,0,説明,名詞,サ変接続,*,*,説明,36
32,0,できる,動詞,自立,*,*,できる,31
36,0,引張り,動詞,自立,*,*,引張る,31
38,0,圧縮,名詞,サ変接続,*,*,圧縮,36
40,0,ねじり,動詞,自立,*,*,ねじる,31
41,0,荷重,名詞,形容動詞語幹,*,*,荷重,40
43,0,生じる,動詞,自立,*,*,生じる,31
44,0,応力,名詞,一般,*,*,応力,38
46,0,ひずみ,動詞,自立,*,*,ひずむ,31
48,0,求める,動詞,自立,*,*,求める,31
51,0,できる,動詞,自立,*,*,できる,31
55,0,曲げ,動詞,自立,*,*,曲げる,31
56,0,荷重,名詞,一般,*,*,荷重,38
58,0,うける,動詞,自立,*,*,うける,31
59,0,はり,名詞,一般,*,*,はり,38
61,0,生じる,動詞,自立,*,*,生じる,31
62,0,応力,名詞,一般,*,*,応力,38
64,0,ひずみ,動詞,自立,*,*,ひずむ,31
66,0,たわみ,動詞,自立,*,*,たわむ,31
68,0,求める,動詞,自立,*,*,求める,31
71,0,できる,動詞,自立,*,*,できる,31
75,0,弾性,名詞,一般,*,*,弾性,38
76,0,力学,名詞,一般,*,*,力学,38
78,0,基礎,名詞,一般,*,*,基礎,38
80,0,理解,名詞,サ変接続,*,*,理解,36
83,0,組み合わせ,名詞,一般,*,*,組み合わせ,38
84,0,応力,名詞,一般,*,*,応力,38
85,0,状態,名詞,一般,*,*,状態,38
87,0,表す,動詞,自立,*,*,表す,31
90,0,できる,動詞,自立,*,*,できる,31
94,0,ひずみエネルギー,名詞,固有名詞,一般,*,ひずみエネルギー,41
96,0,力,名詞,一般,*,*,力,38
98,0,間,名詞,一般,*,*,間,38
100,0,関係,名詞,サ変接続,*,*,関係,36
102,0,理解,名詞,サ変接続,*,*,理解,36
105,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
108,0,静,名詞,一般,*,*,静,38
110,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
112,0,解く,動詞,自立,*,*,解く,31
115,0,できる,動詞,自立,*,*,できる,31
0,0,応力,名詞,一般,*,*,応力,38
1,0,ひずみ,動詞,自立,*,*,ひずむ,31
2,0,引張,動詞,自立,*,*,引張る,31
3,0,圧縮,名詞,サ変接続,*,*,圧縮,36
4,0,ねじり,動詞,自立,*,*,ねじる,31
5,0,はり,名詞,一般,*,*,はり,38
7,0,曲げ,動詞,自立,*,*,曲げる,31
8,0,座屈,名詞,固有名詞,一般,*,座屈,41
9,0,ひずみエネルギー,名詞,固有名詞,一般,*,ひずみエネルギー,41
11,0,静,名詞,一般,*,*,静,38
13,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
0,0,応力,名詞,一般,*,*,応力,38
1,0,ひずみ,動詞,自立,*,*,ひずむ,31
2,0,引張,動詞,自立,*,*,引張る,31
3,0,圧縮,名詞,サ変接続,*,*,圧縮,36
4,0,ねじり,動詞,自立,*,*,ねじる,31
5,0,はり,名詞,一般,*,*,はり,38
7,0,曲げ,動詞,自立,*,*,曲げる,31
8,0,座屈,名詞,固有名詞,一般,*,座屈,41
9,0,ひずみエネルギー,名詞,固有名詞,一般,*,ひずみエネルギー,41
11,0,静,名詞,一般,*,*,静,38
13,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
0,0,応力,名詞,一般,*,*,応力,38
1,0,ひずみ,動詞,自立,*,*,ひずむ,31
2,0,引張,動詞,自立,*,*,引張る,31
3,0,圧縮,名詞,サ変接続,*,*,圧縮,36
4,0,ねじり,動詞,自立,*,*,ねじる,31
5,0,はり,名詞,一般,*,*,はり,38
7,0,曲げ,動詞,自立,*,*,曲げる,31
8,0,座屈,名詞,固有名詞,一般,*,座屈,41
9,0,ひずみエネルギー,名詞,固有名詞,一般,*,ひずみエネルギー,41
11,0,静,名詞,一般,*,*,静,38
13,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
0,0,応力,名詞,一般,*,*,応力,38
1,0,ひずみ,動詞,自立,*,*,ひずむ,31
2,0,引張,動詞,自立,*,*,引張る,31
3,0,圧縮,名詞,サ変接続,*,*,圧縮,36
4,0,ねじり,動詞,自立,*,*,ねじる,31
5,0,はり,名詞,一般,*,*,はり,38
7,0,曲げ,動詞,自立,*,*,曲げる,31
8,0,座屈,名詞,固有名詞,一般,*,座屈,41
9,0,ひずみエネルギー,名詞,固有名詞,一般,*,ひずみエネルギー,41
11,0,静,名詞,一般,*,*,静,38
13,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
0,0,応力,名詞,一般,*,*,応力,38
1,0,ひずみ,動詞,自立,*,*,ひずむ,31
2,0,引張,動詞,自立,*,*,引張る,31
3,0,圧縮,名詞,サ変接続,*,*,圧縮,36
4,0,ねじり,動詞,自立,*,*,ねじる,31
5,0,はり,名詞,一般,*,*,はり,38
7,0,曲げ,動詞,自立,*,*,曲げる,31
8,0,座屈,名詞,固有名詞,一般,*,座屈,41
9,0,ひずみエネルギー,名詞,固有名詞,一般,*,ひずみエネルギー,41
11,0,静,名詞,一般,*,*,静,38
13,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
0,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
0,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
0,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
0,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
0,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
0,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
1,0,演習,名詞,サ変接続,*,*,演習,36
0,0,荷重,名詞,一般,*,*,荷重,38
2,0,種類,名詞,一般,*,*,種類,38
4,0,応力,名詞,一般,*,*,応力,38
6,0,ひずみ,動詞,自立,*,*,ひずむ,31
7,0,応力,名詞,一般,*,*,応力,38
9,0,ひずみ,動詞,自立,*,*,ひずむ,31
11,0,概念,名詞,一般,*,*,概念,38
13,0,フックの法則,名詞,固有名詞,一般,*,フックの法則,41
15,0,弾性,名詞,一般,*,*,弾性,38
16,0,係数,名詞,一般,*,*,係数,38
18,0,演習,名詞,サ変接続,*,*,演習,36
19,0,行う,動詞,自立,*,*,行う,31
21,0,材料,名詞,一般,*,*,材料,38
22,0,試験,名詞,サ変接続,*,*,試験,36
24,0,許容,名詞,サ変接続,*,*,許容,36
25,0,応力,名詞,一般,*,*,応力,38
27,0,安全率,名詞,固有名詞,一般,*,安全率,41
29,0,引,名詞,固有名詞,人名,姓,引,43
30,0,張,名詞,固有名詞,人名,姓,張,43
32,0,圧縮,名詞,サ変接続,*,*,圧縮,36
34,0,熱,名詞,一般,*,*,熱,38
35,0,応力,名詞,一般,*,*,応力,38
36,0,引張,動詞,自立,*,*,引張る,31
37,0,荷重,名詞,形容動詞語幹,*,*,荷重,40
39,0,圧縮,名詞,サ変接続,*,*,圧縮,36
40,0,荷重,名詞,一般,*,*,荷重,38
42,0,受ける,動詞,自立,*,*,受ける,31
43,0,棒,名詞,一般,*,*,棒,38
45,0,応力,名詞,一般,*,*,応力,38
47,0,ひずみ,動詞,自立,*,*,ひずむ,31
49,0,演習,名詞,サ変接続,*,*,演習,36
51,0,行う,動詞,自立,*,*,行う,31
53,0,軸,名詞,一般,*,*,軸,38
55,0,ねじり,動詞,自立,*,*,ねじる,31
57,0,はり,名詞,一般,*,*,はり,38
59,0,曲げ,動詞,自立,*,*,曲げる,31
61,0,曲げ,動詞,自立,*,*,曲げる,31
62,0,モーメント,名詞,一般,*,*,モーメント,38
64,0,せん断,名詞,サ変接続,*,*,せん断,36
65,0,力,名詞,接尾,一般,*,力,51
67,0,ねじり,動詞,自立,*,*,ねじる,31
68,0,荷重,名詞,一般,*,*,荷重,38
70,0,受ける,動詞,自立,*,*,受ける,31
71,0,丸,名詞,一般,*,*,丸,38
72,0,棒,名詞,一般,*,*,棒,38
74,0,薄肉,名詞,一般,*,*,薄肉,38
75,0,菅,名詞,一般,*,*,菅,38
77,0,応力,名詞,一般,*,*,応力,38
79,0,ひずみ,動詞,自立,*,*,ひずむ,31
81,0,演習,名詞,サ変接続,*,*,演習,36
83,0,行う,動詞,自立,*,*,行う,31
85,0,曲げ,動詞,自立,*,*,曲げる,31
86,0,荷重,名詞,一般,*,*,荷重,38
88,0,受ける,動詞,自立,*,*,受ける,31
89,0,はり,名詞,一般,*,*,はり,38
91,0,せん断,名詞,サ変接続,*,*,せん断,36
92,0,力,名詞,接尾,一般,*,力,51
94,0,曲げ,動詞,自立,*,*,曲げる,31
95,0,モーメント,名詞,一般,*,*,モーメント,38
97,0,求める,動詞,自立,*,*,求める,31
98,0,演習,名詞,サ変接続,*,*,演習,36
101,0,解く,動詞,自立,*,*,解く,31
103,0,はり,名詞,一般,*,*,はり,38
105,0,曲げ,動詞,自立,*,*,曲げる,31
107,0,断面,名詞,一般,*,*,断面,38
109,0,性質,名詞,一般,*,*,性質,38
111,0,曲げ,動詞,自立,*,*,曲げる,31
112,0,応力,名詞,一般,*,*,応力,38
114,0,はり,名詞,一般,*,*,はり,38
116,0,たわみ,動詞,自立,*,*,たわむ,31
118,0,はり,名詞,一般,*,*,はり,38
120,0,断面二次モーメント,名詞,固有名詞,一般,*,断面二次モーメント,41
122,0,導出,名詞,サ変接続,*,*,導出,36
125,0,曲げ,動詞,自立,*,*,曲げる,31
126,0,応力,名詞,一般,*,*,応力,38
128,0,ひずみ,動詞,自立,*,*,ひずむ,31
130,0,求める,動詞,自立,*,*,求める,31
132,0,たわみ,動詞,自立,*,*,たわむ,31
134,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
136,0,解い,動詞,自立,*,*,解く,31
138,0,はり,名詞,一般,*,*,はり,38
140,0,たわみ,動詞,自立,*,*,たわむ,31
142,0,求める,動詞,自立,*,*,求める,31
145,0,静,名詞,一般,*,*,静,38
147,0,はり,名詞,一般,*,*,はり,38
149,0,たわみ,動詞,自立,*,*,たわむ,31
151,0,柱,名詞,一般,*,*,柱,38
153,0,座屈,名詞,固有名詞,一般,*,座屈,41
155,0,静,名詞,一般,*,*,静,38
157,0,はり,名詞,一般,*,*,はり,38
159,0,たわみ,動詞,自立,*,*,たわむ,31
161,0,演習,名詞,サ変接続,*,*,演習,36
163,0,行う,動詞,自立,*,*,行う,31
165,0,柱,名詞,一般,*,*,柱,38
167,0,座屈,名詞,固有名詞,一般,*,座屈,41
170,0,演習,名詞,サ変接続,*,*,演習,36
172,0,行う,動詞,自立,*,*,行う,31
174,0,弾性,名詞,一般,*,*,弾性,38
175,0,力学,名詞,一般,*,*,力学,38
177,0,基礎,名詞,一般,*,*,基礎,38
179,0,3次元,名詞,固有名詞,一般,*,3次元,41
180,0,応力,名詞,一般,*,*,応力,38
181,0,状態,名詞,一般,*,*,状態,38
182,0,2次元,名詞,固有名詞,一般,*,2次元,41
184,0,3次元,名詞,固有名詞,一般,*,3次元,41
186,0,組合せ,名詞,一般,*,*,組合せ,38
187,0,応力,名詞,一般,*,*,応力,38
188,0,状態,名詞,一般,*,*,状態,38
190,0,演習,名詞,サ変接続,*,*,演習,36
192,0,行う,動詞,自立,*,*,行う,31
194,0,弾性エネルギー,名詞,固有名詞,一般,*,弾性エネルギー,41
196,0,カスチリアノの定理,名詞,固有名詞,一般,*,カスチリアノの定理,41
197,0,弾性エネルギー,名詞,固有名詞,一般,*,弾性エネルギー,41
199,0,用い,動詞,自立,*,*,用いる,31
202,0,静,名詞,一般,*,*,静,38
204,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
206,0,演習,名詞,サ変接続,*,*,演習,36
208,0,行う,動詞,自立,*,*,行う,31
0,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
1,0,演習,名詞,サ変接続,*,*,演習,36
0,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
1,0,演習,名詞,サ変接続,*,*,演習,36
0,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
1,0,演習,名詞,サ変接続,*,*,演習,36
