Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,MOS,名詞,固有名詞,一般,*,MOS,41
9,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
11,0,動作,名詞,サ変接続,*,*,動作,36
12,0,原理,名詞,一般,*,*,原理,38
14,0,動作,名詞,サ変接続,*,*,動作,36
15,0,特性,名詞,一般,*,*,特性,38
17,0,理解,名詞,サ変接続,*,*,理解,36
20,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
21,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
22,0,構成,名詞,サ変接続,*,*,構成,36
23,0,法,名詞,接尾,一般,*,法,51
27,0,回路,名詞,一般,*,*,回路,38
28,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
29,0,設計,名詞,サ変接続,*,*,設計,36
30,0,手法,名詞,一般,*,*,手法,38
32,0,回路,名詞,一般,*,*,回路,38
33,0,テスト,名詞,サ変接続,*,*,テスト,36
34,0,設計,名詞,サ変接続,*,*,設計,36
35,0,手法,名詞,一般,*,*,手法,38
37,0,修得,名詞,サ変接続,*,*,修得,36
42,0,講義,名詞,サ変接続,*,*,講義,36
44,0,履修,名詞,サ変接続,*,*,履修,36
49,0,MOS,名詞,固有名詞,一般,*,MOS,41
50,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
52,0,動作,名詞,サ変接続,*,*,動作,36
53,0,原理,名詞,一般,*,*,原理,38
55,0,動作,名詞,サ変接続,*,*,動作,36
56,0,特性,名詞,一般,*,*,特性,38
58,0,理解,名詞,サ変接続,*,*,理解,36
61,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
62,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
63,0,構成,名詞,サ変接続,*,*,構成,36
64,0,法,名詞,接尾,一般,*,法,51
68,0,回路,名詞,一般,*,*,回路,38
69,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
70,0,設計,名詞,サ変接続,*,*,設計,36
71,0,手法,名詞,一般,*,*,手法,38
73,0,回路,名詞,一般,*,*,回路,38
74,0,テスト,名詞,サ変接続,*,*,テスト,36
75,0,設計,名詞,サ変接続,*,*,設計,36
76,0,手法,名詞,一般,*,*,手法,38
78,0,修得,名詞,サ変接続,*,*,修得,36
83,0,講義,名詞,サ変接続,*,*,講義,36
85,0,履修,名詞,サ変接続,*,*,履修,36
90,0,MOS,名詞,固有名詞,一般,*,MOS,41
91,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
93,0,動作,名詞,サ変接続,*,*,動作,36
94,0,原理,名詞,一般,*,*,原理,38
96,0,動作,名詞,サ変接続,*,*,動作,36
97,0,特性,名詞,一般,*,*,特性,38
99,0,理解,名詞,サ変接続,*,*,理解,36
102,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
103,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
104,0,構成,名詞,サ変接続,*,*,構成,36
105,0,法,名詞,接尾,一般,*,法,51
109,0,回路,名詞,一般,*,*,回路,38
110,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
111,0,設計,名詞,サ変接続,*,*,設計,36
112,0,手法,名詞,一般,*,*,手法,38
114,0,回路,名詞,一般,*,*,回路,38
115,0,テスト,名詞,サ変接続,*,*,テスト,36
116,0,設計,名詞,サ変接続,*,*,設計,36
117,0,手法,名詞,一般,*,*,手法,38
119,0,修得,名詞,サ変接続,*,*,修得,36
124,0,講義,名詞,サ変接続,*,*,講義,36
126,0,履修,名詞,サ変接続,*,*,履修,36
131,0,MOS,名詞,固有名詞,一般,*,MOS,41
132,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
134,0,動作,名詞,サ変接続,*,*,動作,36
135,0,原理,名詞,一般,*,*,原理,38
137,0,動作,名詞,サ変接続,*,*,動作,36
138,0,特性,名詞,一般,*,*,特性,38
140,0,理解,名詞,サ変接続,*,*,理解,36
143,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
144,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
145,0,構成,名詞,サ変接続,*,*,構成,36
146,0,法,名詞,接尾,一般,*,法,51
150,0,回路,名詞,一般,*,*,回路,38
151,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
152,0,設計,名詞,サ変接続,*,*,設計,36
153,0,手法,名詞,一般,*,*,手法,38
155,0,回路,名詞,一般,*,*,回路,38
156,0,テスト,名詞,サ変接続,*,*,テスト,36
157,0,設計,名詞,サ変接続,*,*,設計,36
158,0,手法,名詞,一般,*,*,手法,38
160,0,修得,名詞,サ変接続,*,*,修得,36
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,MOS,名詞,固有名詞,一般,*,MOS,41
9,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
11,0,動作,名詞,サ変接続,*,*,動作,36
12,0,原理,名詞,一般,*,*,原理,38
14,0,動作,名詞,サ変接続,*,*,動作,36
15,0,特性,名詞,一般,*,*,特性,38
17,0,理解,名詞,サ変接続,*,*,理解,36
20,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
21,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
22,0,構成,名詞,サ変接続,*,*,構成,36
23,0,法,名詞,接尾,一般,*,法,51
27,0,回路,名詞,一般,*,*,回路,38
28,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
29,0,設計,名詞,サ変接続,*,*,設計,36
30,0,手法,名詞,一般,*,*,手法,38
32,0,回路,名詞,一般,*,*,回路,38
33,0,テスト,名詞,サ変接続,*,*,テスト,36
34,0,設計,名詞,サ変接続,*,*,設計,36
35,0,手法,名詞,一般,*,*,手法,38
37,0,修得,名詞,サ変接続,*,*,修得,36
42,0,講義,名詞,サ変接続,*,*,講義,36
44,0,履修,名詞,サ変接続,*,*,履修,36
49,0,MOS,名詞,固有名詞,一般,*,MOS,41
50,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
52,0,動作,名詞,サ変接続,*,*,動作,36
53,0,原理,名詞,一般,*,*,原理,38
55,0,動作,名詞,サ変接続,*,*,動作,36
56,0,特性,名詞,一般,*,*,特性,38
58,0,理解,名詞,サ変接続,*,*,理解,36
61,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
62,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
63,0,構成,名詞,サ変接続,*,*,構成,36
64,0,法,名詞,接尾,一般,*,法,51
68,0,回路,名詞,一般,*,*,回路,38
69,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
70,0,設計,名詞,サ変接続,*,*,設計,36
71,0,手法,名詞,一般,*,*,手法,38
73,0,回路,名詞,一般,*,*,回路,38
74,0,テスト,名詞,サ変接続,*,*,テスト,36
75,0,設計,名詞,サ変接続,*,*,設計,36
76,0,手法,名詞,一般,*,*,手法,38
78,0,修得,名詞,サ変接続,*,*,修得,36
83,0,講義,名詞,サ変接続,*,*,講義,36
85,0,履修,名詞,サ変接続,*,*,履修,36
90,0,MOS,名詞,固有名詞,一般,*,MOS,41
91,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
93,0,動作,名詞,サ変接続,*,*,動作,36
94,0,原理,名詞,一般,*,*,原理,38
96,0,動作,名詞,サ変接続,*,*,動作,36
97,0,特性,名詞,一般,*,*,特性,38
99,0,理解,名詞,サ変接続,*,*,理解,36
102,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
103,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
104,0,構成,名詞,サ変接続,*,*,構成,36
105,0,法,名詞,接尾,一般,*,法,51
109,0,回路,名詞,一般,*,*,回路,38
110,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
111,0,設計,名詞,サ変接続,*,*,設計,36
112,0,手法,名詞,一般,*,*,手法,38
114,0,回路,名詞,一般,*,*,回路,38
115,0,テスト,名詞,サ変接続,*,*,テスト,36
116,0,設計,名詞,サ変接続,*,*,設計,36
117,0,手法,名詞,一般,*,*,手法,38
119,0,修得,名詞,サ変接続,*,*,修得,36
124,0,講義,名詞,サ変接続,*,*,講義,36
126,0,履修,名詞,サ変接続,*,*,履修,36
131,0,MOS,名詞,固有名詞,一般,*,MOS,41
132,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
134,0,動作,名詞,サ変接続,*,*,動作,36
135,0,原理,名詞,一般,*,*,原理,38
137,0,動作,名詞,サ変接続,*,*,動作,36
138,0,特性,名詞,一般,*,*,特性,38
140,0,理解,名詞,サ変接続,*,*,理解,36
143,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
144,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
145,0,構成,名詞,サ変接続,*,*,構成,36
146,0,法,名詞,接尾,一般,*,法,51
150,0,回路,名詞,一般,*,*,回路,38
151,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
152,0,設計,名詞,サ変接続,*,*,設計,36
153,0,手法,名詞,一般,*,*,手法,38
155,0,回路,名詞,一般,*,*,回路,38
156,0,テスト,名詞,サ変接続,*,*,テスト,36
157,0,設計,名詞,サ変接続,*,*,設計,36
158,0,手法,名詞,一般,*,*,手法,38
160,0,修得,名詞,サ変接続,*,*,修得,36
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,MOS,名詞,固有名詞,一般,*,MOS,41
9,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
11,0,動作,名詞,サ変接続,*,*,動作,36
12,0,原理,名詞,一般,*,*,原理,38
14,0,動作,名詞,サ変接続,*,*,動作,36
15,0,特性,名詞,一般,*,*,特性,38
17,0,理解,名詞,サ変接続,*,*,理解,36
20,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
21,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
22,0,構成,名詞,サ変接続,*,*,構成,36
23,0,法,名詞,接尾,一般,*,法,51
27,0,回路,名詞,一般,*,*,回路,38
28,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
29,0,設計,名詞,サ変接続,*,*,設計,36
30,0,手法,名詞,一般,*,*,手法,38
32,0,回路,名詞,一般,*,*,回路,38
33,0,テスト,名詞,サ変接続,*,*,テスト,36
34,0,設計,名詞,サ変接続,*,*,設計,36
35,0,手法,名詞,一般,*,*,手法,38
37,0,修得,名詞,サ変接続,*,*,修得,36
42,0,講義,名詞,サ変接続,*,*,講義,36
44,0,履修,名詞,サ変接続,*,*,履修,36
49,0,MOS,名詞,固有名詞,一般,*,MOS,41
50,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
52,0,動作,名詞,サ変接続,*,*,動作,36
53,0,原理,名詞,一般,*,*,原理,38
55,0,動作,名詞,サ変接続,*,*,動作,36
56,0,特性,名詞,一般,*,*,特性,38
58,0,理解,名詞,サ変接続,*,*,理解,36
61,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
62,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
63,0,構成,名詞,サ変接続,*,*,構成,36
64,0,法,名詞,接尾,一般,*,法,51
68,0,回路,名詞,一般,*,*,回路,38
69,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
70,0,設計,名詞,サ変接続,*,*,設計,36
71,0,手法,名詞,一般,*,*,手法,38
73,0,回路,名詞,一般,*,*,回路,38
74,0,テスト,名詞,サ変接続,*,*,テスト,36
75,0,設計,名詞,サ変接続,*,*,設計,36
76,0,手法,名詞,一般,*,*,手法,38
78,0,修得,名詞,サ変接続,*,*,修得,36
83,0,講義,名詞,サ変接続,*,*,講義,36
85,0,履修,名詞,サ変接続,*,*,履修,36
90,0,MOS,名詞,固有名詞,一般,*,MOS,41
91,0,トランジスタ,名詞,一般,*,*,トランジスタ,38
93,0,動作,名詞,サ変接続,*,*,動作,36
94,0,原理,名詞,一般,*,*,原理,38
96,0,動作,名詞,サ変接続,*,*,動作,36
97,0,特性,名詞,一般,*,*,特性,38
99,0,理解,名詞,サ変接続,*,*,理解,36
102,0,CMOS,名詞,固有名詞,一般,*,CMOS,41
103,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
104,0,構成,名詞,サ変接続,*,*,構成,36
105,0,法,名詞,接尾,一般,*,法,51
109,0,回路,名詞,一般,*,*,回路,38
110,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
111,0,設計,名詞,サ変接続,*,*,設計,36
112,0,手法,名詞,一般,*,*,手法,38
114,0,回路,名詞,一般,*,*,回路,38
