Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,講義,名詞,サ変接続,*,*,講義,36
6,0,光,名詞,一般,*,*,光,38
8,0,物質,名詞,一般,*,*,物質,38
10,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
12,0,基礎,名詞,一般,*,*,基礎,38
13,0,的,名詞,接尾,形容動詞語幹,*,的,52
15,0,説明,名詞,サ変接続,*,*,説明,36
17,0,半導体,名詞,一般,*,*,半導体,38
19,0,光,名詞,一般,*,*,光,38
20,0,吸収,名詞,サ変接続,*,*,吸収,36
22,0,放出,名詞,サ変接続,*,*,放出,36
24,0,半導体,名詞,一般,*,*,半導体,38
25,0,材料,名詞,一般,*,*,材料,38
27,0,特性,名詞,一般,*,*,特性,38
29,0,違い,名詞,ナイ形容詞語幹,*,*,違い,37
31,0,バンドギャップ,名詞,固有名詞,一般,*,バンドギャップ,41
33,0,直接遷移,名詞,固有名詞,一般,*,直接遷移,41
35,0,間接遷移,名詞,固有名詞,一般,*,間接遷移,41
39,0,自然放出,名詞,固有名詞,一般,*,自然放出,41
41,0,誘導放出,名詞,固有名詞,一般,*,誘導放出,41
43,0,レーザ,名詞,一般,*,*,レーザ,38
44,0,動作,名詞,サ変接続,*,*,動作,36
46,0,基礎,名詞,一般,*,*,基礎,38
48,0,屈折率,名詞,固有名詞,一般,*,屈折率,41
50,0,光起電力効果,名詞,固有名詞,一般,*,光起電力効果,41
53,0,半導体,名詞,一般,*,*,半導体,38
54,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
56,0,基礎,名詞,一般,*,*,基礎,38
58,0,なる,動詞,自立,*,*,なる,31
59,0,物性,名詞,一般,*,*,物性,38
61,0,説明,名詞,サ変接続,*,*,説明,36
66,0,履修,名詞,サ変接続,*,*,履修,36
71,0,半導体,名詞,一般,*,*,半導体,38
72,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
74,0,動作,名詞,サ変接続,*,*,動作,36
76,0,基本,名詞,一般,*,*,基本,38
77,0,原理,名詞,一般,*,*,原理,38
79,0,理解,名詞,サ変接続,*,*,理解,36
83,0,目標,名詞,一般,*,*,目標,38
92,0,内容,名詞,一般,*,*,内容,38
94,0,応用,名詞,サ変接続,*,*,応用,36
95,0,発展,名詞,サ変接続,*,*,発展,36
99,0,種々,名詞,一般,*,*,種々,38
101,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
103,0,講義,名詞,サ変接続,*,*,講義,36
105,0,基礎,名詞,一般,*,*,基礎,38
107,0,なる,動詞,自立,*,*,なる,31
108,0,知識,名詞,一般,*,*,知識,38
110,0,習得,名詞,サ変接続,*,*,習得,36
114,0,できる,動詞,自立,*,*,できる,31
118,0,講義,名詞,サ変接続,*,*,講義,36
122,0,光,名詞,一般,*,*,光,38
124,0,物質,名詞,一般,*,*,物質,38
126,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
128,0,基礎,名詞,一般,*,*,基礎,38
129,0,的,名詞,接尾,形容動詞語幹,*,的,52
131,0,説明,名詞,サ変接続,*,*,説明,36
133,0,半導体,名詞,一般,*,*,半導体,38
135,0,光,名詞,一般,*,*,光,38
136,0,吸収,名詞,サ変接続,*,*,吸収,36
138,0,放出,名詞,サ変接続,*,*,放出,36
140,0,半導体,名詞,一般,*,*,半導体,38
141,0,材料,名詞,一般,*,*,材料,38
143,0,特性,名詞,一般,*,*,特性,38
145,0,違い,名詞,ナイ形容詞語幹,*,*,違い,37
147,0,バンドギャップ,名詞,固有名詞,一般,*,バンドギャップ,41
149,0,直接遷移,名詞,固有名詞,一般,*,直接遷移,41
151,0,間接遷移,名詞,固有名詞,一般,*,間接遷移,41
155,0,自然放出,名詞,固有名詞,一般,*,自然放出,41
157,0,誘導放出,名詞,固有名詞,一般,*,誘導放出,41
159,0,レーザ,名詞,一般,*,*,レーザ,38
160,0,動作,名詞,サ変接続,*,*,動作,36
162,0,基礎,名詞,一般,*,*,基礎,38
164,0,屈折率,名詞,固有名詞,一般,*,屈折率,41
166,0,光起電力効果,名詞,固有名詞,一般,*,光起電力効果,41
169,0,半導体,名詞,一般,*,*,半導体,38
170,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
172,0,基礎,名詞,一般,*,*,基礎,38
174,0,なる,動詞,自立,*,*,なる,31
175,0,物性,名詞,一般,*,*,物性,38
177,0,説明,名詞,サ変接続,*,*,説明,36
182,0,履修,名詞,サ変接続,*,*,履修,36
187,0,半導体,名詞,一般,*,*,半導体,38
188,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
190,0,動作,名詞,サ変接続,*,*,動作,36
192,0,基本,名詞,一般,*,*,基本,38
193,0,原理,名詞,一般,*,*,原理,38
195,0,理解,名詞,サ変接続,*,*,理解,36
199,0,目標,名詞,一般,*,*,目標,38
208,0,内容,名詞,一般,*,*,内容,38
210,0,応用,名詞,サ変接続,*,*,応用,36
211,0,発展,名詞,サ変接続,*,*,発展,36
215,0,種々,名詞,一般,*,*,種々,38
217,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
219,0,講義,名詞,サ変接続,*,*,講義,36
221,0,基礎,名詞,一般,*,*,基礎,38
223,0,なる,動詞,自立,*,*,なる,31
224,0,知識,名詞,一般,*,*,知識,38
226,0,習得,名詞,サ変接続,*,*,習得,36
230,0,できる,動詞,自立,*,*,できる,31
234,0,講義,名詞,サ変接続,*,*,講義,36
238,0,光,名詞,一般,*,*,光,38
240,0,物質,名詞,一般,*,*,物質,38
242,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
244,0,基礎,名詞,一般,*,*,基礎,38
245,0,的,名詞,接尾,形容動詞語幹,*,的,52
