,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,コース,名詞,一般,*,*,コース,38
3,0,終わる,動詞,自立,*,*,終わる,31
6,0,つぎ,名詞,一般,*,*,つぎ,38
8,0,技能,名詞,一般,*,*,技能,38
10,0,応用,名詞,サ変接続,*,*,応用,36
14,0,レポート,名詞,サ変接続,*,*,レポート,36
16,0,書き方,名詞,一般,*,*,書き方,38
18,0,役立つ,動詞,自立,*,*,役立つ,31
19,0,日本語,名詞,一般,*,*,日本語,38
21,0,イディオム,名詞,一般,*,*,イディオム,38
25,0,漢字,名詞,一般,*,*,漢字,38
27,0,訓読み,名詞,サ変接続,*,*,訓読み,36
29,0,学び,動詞,自立,*,*,学ぶ,31
33,0,使い,動詞,自立,*,*,使う,31
35,0,応用,名詞,サ変接続,*,*,応用,36
40,0,できる,動詞,自立,*,*,できる,31
43,1,コース,名詞,一般,*,*,コース,38
45,1,終わる,動詞,自立,*,*,終わる,31
48,1,つぎ,名詞,一般,*,*,つぎ,38
50,1,技能,名詞,一般,*,*,技能,38
52,1,応用,名詞,サ変接続,*,*,応用,36
56,1,レポート,名詞,サ変接続,*,*,レポート,36
58,1,書き方,名詞,一般,*,*,書き方,38
60,1,役立つ,動詞,自立,*,*,役立つ,31
61,1,日本語,名詞,一般,*,*,日本語,38
63,1,イディオム,名詞,一般,*,*,イディオム,38
67,1,漢字,名詞,一般,*,*,漢字,38
69,1,訓読み,名詞,サ変接続,*,*,訓読み,36
71,1,学び,動詞,自立,*,*,学ぶ,31
75,1,使い,動詞,自立,*,*,使う,31
77,1,応用,名詞,サ変接続,*,*,応用,36
82,1,できる,動詞,自立,*,*,できる,31
85,2,コース,名詞,一般,*,*,コース,38
87,2,終わる,動詞,自立,*,*,終わる,31
90,2,つぎ,名詞,一般,*,*,つぎ,38
92,2,技能,名詞,一般,*,*,技能,38
94,2,応用,名詞,サ変接続,*,*,応用,36
98,2,レポート,名詞,サ変接続,*,*,レポート,36
100,2,書き方,名詞,一般,*,*,書き方,38
102,2,役立つ,動詞,自立,*,*,役立つ,31
103,2,日本語,名詞,一般,*,*,日本語,38
105,2,イディオム,名詞,一般,*,*,イディオム,38
109,2,漢字,名詞,一般,*,*,漢字,38
111,2,訓読み,名詞,サ変接続,*,*,訓読み,36
113,2,学び,動詞,自立,*,*,学ぶ,31
117,2,使い,動詞,自立,*,*,使う,31
119,2,応用,名詞,サ変接続,*,*,応用,36
124,2,できる,動詞,自立,*,*,できる,31
127,3,コース,名詞,一般,*,*,コース,38
129,3,終わる,動詞,自立,*,*,終わる,31
132,3,つぎ,名詞,一般,*,*,つぎ,38
134,3,技能,名詞,一般,*,*,技能,38
136,3,応用,名詞,サ変接続,*,*,応用,36
140,3,レポート,名詞,サ変接続,*,*,レポート,36
142,3,書き方,名詞,一般,*,*,書き方,38
144,3,役立つ,動詞,自立,*,*,役立つ,31
145,3,日本語,名詞,一般,*,*,日本語,38
147,3,イディオム,名詞,一般,*,*,イディオム,38
151,3,漢字,名詞,一般,*,*,漢字,38
153,3,訓読み,名詞,サ変接続,*,*,訓読み,36
